...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
660,"The Color of Money (1984), Walter Tevis",The Color of Money (1986),The Color of Money,1986,"The Color of Money,1986",tt0090863,The Color of Money,The Color of Money,0,1986,119,"Drama,Sport",7,98799,The Color of Money,The Color of Money,Walter Tevis,"The Color of Money,Walter Tevis",The Color of Money,"[""Walter Tevis""]",3.91,1530,4143,4143,"Oct 17, 1986",The Color of Money,10000000,52293000,"$52,293,000",4101,"The Color of Money,1986"
661,"The Color Purple (1982), Alice Walker",The Color Purple (1985),The Color Purple,1985,"The Color Purple,1985",tt0088939,The Color Purple,The Color Purple,0,1985,154,Drama,7.7,102277,The Color Purple,The Color Purple,Alice Walker,"The Color Purple,Alice Walker",The Color Purple,"[""Alice Walker""]",4.27,694072,3517,3517,"Dec 18, 1985",The Color Purple,15000000,94029472,"$94,029,472",3501,"The Color Purple,1985"
675,"Congo (1980), Michael Crichton",Congo (1995),Congo,1995,"Congo,1995",tt0112715,Congo,Congo,0,1995,109,"Action,Adventure,Mystery",5.3,51395,Congo,Congo,Michael Crichton,"Congo,Michael Crichton",Congo,"[""Michael Crichton""]",3.62,171973,1355,1355,"Jun 9, 1995",Congo,50000000,81022333,"$152,022,333",1301,"Congo,1995"
688,"A Connecticut Yankee in King Arthur's Court (1889), Mark Twain",Black Knight (2001),Black Knight,2001,"Black Knight,2001",tt0265087,Black Knight,Black Knight,0,2001,95,"Adventure,Comedy,Fantasy",5,45334,Black Knight,A Connecticut Yankee in King Arthur's Court,Mark Twain,"A Connecticut Yankee in King Arthur's Court,Mark Twain",A Connecticut Yankee in King Arthur's Court,"[""Mark Twain""]",3.77,103971,2014,2014,"Nov 21, 2001",Black Knight,35000000,33422806,"$33,422,806",2001,"Black Knight,2001"
689,"The Constant Gardener (2001), John le Carré",The Constant Gardener (2005),The Constant Gardener,2005,"The Constant Gardener,2005",tt0387131,The Constant Gardener,The Constant Gardener,0,2005,129,"Drama,Mystery,Romance",7.3,154160,The Constant Gardener,The Constant Gardener,John le Carré,"The Constant Gardener,John le Carré",The Constant Gardener,"[""John le Carré""]",3.82,28667,2548,2548,"Aug 31, 2005",The Constant Gardener,25500000,33579798,"$86,301,599",2501,"The Constant Gardener,2005"
690,"Contact (1985), Carl Sagan",Contact (1997),Contact,1997,"Contact,1997",tt0118884,Contact,Contact,0,1997,150,"Drama,Mystery,Sci-Fi",7.5,307130,Contact,Contact,Carl Sagan,"Contact,Carl Sagan",Contact,"[""Carl Sagan""]",4.15,143819,602,602,"Jul 11, 1997",Contact,90000000,100920329,"$165,900,000",601,"Contact,1997"
731,"Cycle of the Werewolf (1983), Stephen King",Silver Bullet (1985),Silver Bullet,1985,"Silver Bullet,1985",tt0090021,Silver Bullet,Silver Bullet,0,1985,95,Horror,6.4,34475,Silver Bullet,Cycle of the Werewolf,Stephen King,"Cycle of the Werewolf,Stephen King",Cycle of the Werewolf,"[""Stephen King""]",3.66,58450,4699,4699,"Oct 11, 1985",Silver Bullet,7000000,10803211,"$10,803,211",4601,"Silver Bullet,1985"
736,"Damnation Alley (1967), Roger Zelazny",Damnation Alley (1977),Damnation Alley,1977,"Damnation Alley,1977",tt0075909,Damnation Alley,Damnation Alley,0,1977,91,Sci-Fi,5.3,6265,Damnation Alley,Damnation Alley,Roger Zelazny,"Damnation Alley,Roger Zelazny",Damnation Alley,"[""Roger Zelazny""]",3.56,5370,3408,3408,"Oct 21, 1977",Damnation Alley,17000000,0,$0,3401,"Damnation Alley,1977"
737,"The Damned Utd (2006), David Peace",The Damned United (2009),The Damned United,2009,"The Damned United,2009",tt1226271,The Damned United,The Damned United,0,2009,98,"Biography,Drama,Sport",7.5,47687,The Damned United,The Damned Utd,David Peace,"The Damned Utd,David Peace",The Damned Utd,"[""David Peace""]",4.14,8333,4799,4799,"Oct 9, 2009",The Damned United,6400000,449865,"$4,199,874",4701,"The Damned United,2009"
739,"Dances with Wolves (1986), Michael Blake",Dances with Wolves (1990),Dances with Wolves,1990,"Dances with Wolves,1990",tt0099348,Dances with Wolves,Dances with Wolves,0,1990,181,"Adventure,Drama,Western",8,304602,Dances with Wolves,Dances with Wolves,Michael Blake,"Dances with Wolves,Michael Blake",Dances with Wolves,"[""Michael Blake""]",4.23,27511,3190,3190,"Nov 9, 1990",Dances with Wolves,19000000,184208842,"$424,208,805",3101,"Dances with Wolves,1990"
751,"The Dangerous Lives of Altar Boys (2001), Chris Fuhrman",The Dangerous Lives of Altar Boys (2002),The Dangerous Lives of Altar Boys,2002,"The Dangerous Lives of Altar Boys,2002",tt0238924,The Dangerous Lives of Altar Boys,The Dangerous Lives of Altar Boys,0,2002,104,"Comedy,Drama",6.9,14549,The Dangerous Lives of Altar Boys,The Dangerous Lives of Altar Boys,Chris Fuhrman,"The Dangerous Lives of Altar Boys,Chris Fuhrman",The Dangerous Lives of Altar Boys,"[""Chris Fuhrman""]",3.97,1524,3997,3997,"Jun 14, 2002",The Dangerous Lives of Altar Boys,12000000,1779284,"$1,779,284",3901,"The Dangerous Lives of Altar Boys,2002"
755,"The Dark Fields (2001), Alan Glynn",Limitless (2011),Limitless,2011,"Limitless,2011",tt1219289,Limitless,Limitless,0,2011,105,"Sci-Fi,Thriller",7.4,637113,Limitless,The Dark Fields,Alan Glynn,"The Dark Fields,Alan Glynn",The Dark Fields,"[""Alan Glynn""]",3.83,6608,2474,2474,"Mar 18, 2011",Limitless,27000000,79249455,"$155,564,919",2401,"Limitless,2011"
759,"The Dark Tower (1998–2012) (series), Stephen King",The Dark Tower (2017),The Dark Tower,2017,"The Dark Tower,2017",tt1648190,The Dark Tower,The Dark Tower,0,2017,95,"Action,Adventure,Drama",5.6,152932,The Dark Tower,The Dark Tower,Stephen King,"The Dark Tower,Stephen King",The Dark Tower,"[""Stephen King""]",4.28,174867,978,978,"Aug 2, 2017",The Dark Tower,66000000,50701325,"$113,461,527",901,"The Dark Tower,2017"
773,"The Day of the Jackal (1971), Frederick Forsyth",The Jackal (1997),The Jackal,1997,"The Jackal,1997",tt0119395,The Jackal,The Jackal,0,1997,124,"Action,Crime,Drama",6.4,130294,The Jackal,The Day of the Jackal,Frederick Forsyth,"The Day of the Jackal,Frederick Forsyth",The Day of the Jackal,"[""Frederick Forsyth""]",4.27,134901,1111,1111,"Nov 14, 1997",The Jackal,60000000,54956941,"$159,356,941",1101,"The Jackal,1997"
782,"The Dead Zone (1979), Stephen King",The Dead Zone (1983),The Dead Zone,1983,"The Dead Zone,1983",tt0085407,The Dead Zone,The Dead Zone,0,1983,103,"Drama,Fantasy,Thriller",7.2,82638,The Dead Zone,The Dead Zone,Stephen King,"The Dead Zone,Stephen King",The Dead Zone,"[""Stephen King""]",3.96,225240,4201,4201,"Oct 21, 1983",The Dead Zone,10000000,20766000,"$20,766,000",4201,"The Dead Zone,1983"
787,"Dear John (2006), Nicholas Sparks",Dear John (2010),Dear John,2010,"Dear John,2010",tt0989757,Dear John,Dear John,0,2010,108,"Drama,Romance,War",6.3,162177,Dear John,Dear John,Nicholas Sparks,"Dear John,Nicholas Sparks",Dear John,"[""Nicholas Sparks""]",4.04,600909,2570,2570,"Feb 5, 2010",Dear John,25000000,80014842,"$142,033,509",2501,"Dear John,2010"
795,"Death on the Nile (1937), Agatha Christie",Death on the Nile (2022),Death on the Nile,2022,"Death on the Nile,2022",tt7657566,Death on the Nile,Death on the Nile,0,2022,127,"Crime,Drama,Mystery",6.3,204983,Death on the Nile,Death on the Nile,Agatha Christie,"Death on the Nile,Agatha Christie",Death on the Nile,"[""Agatha Christie""]",4.12,264102,627,627,"Feb 9, 2022",Death on the Nile,90000000,45630104,"$130,298,184",601,"Death on the Nile,2022"
796,"Death Sentence (1975), Brian Garfield",Death Sentence (2007),Death Sentence,2007,"Death Sentence,2007",tt0804461,Death Sentence,Death Sentence,0,2007,105,"Action,Crime,Thriller",6.7,77059,Death Sentence,Death Sentence,Brian Garfield,"Death Sentence,Brian Garfield",Death Sentence,"[""Brian Garfield""]",3.79,878,3100,3100,"Aug 31, 2007",Death Sentence,20000000,9534258,"$16,907,831",3001,"Death Sentence,2007"
801,"The Deep (1976), Peter Benchley",The Deep (1977),The Deep,1977,"The Deep,1977",tt0075925,The Deep,The Deep,0,1977,123,"Adventure,Mystery,Thriller",6.2,15005,The Deep,The Deep,Peter Benchley,"The Deep,Peter Benchley",The Deep,"[""Peter Benchley""]",3.72,11714,4414,4414,"Jun 17, 1977",The Deep,9000000,50681884,"$50,681,884",4401,"The Deep,1977"
801,"The Deep (1976), Peter Benchley",The Deep (1977),The Deep,1977,"The Deep,1977",tt0075925,The Deep,The Deep,0,1977,123,"Adventure,Mystery,Thriller",6.2,15005,The Deep,The Deep,Peter Benchley,"The Deep,Peter Benchley",The Deep,"[""Peter Benchley""]",3.72,11714,4414,4414,"Jun 17, 1977",The Deep,9000000,50681884,"$50,681,884",4401,"The Deep,1977"
802,"The Deep End of the Ocean (1996), Jacquelyn Mitchard",The Deep End of the Ocean (1999),The Deep End of the Ocean,1999,"The Deep End of the Ocean,1999",tt0120646,The Deep End of the Ocean,The Deep End of the Ocean,0,1999,106,Drama,6.3,22799,The Deep End of the Ocean,The Deep End of the Ocean,Jacquelyn Mitchard,"The Deep End of the Ocean,Jacquelyn Mitchard",The Deep End of the Ocean,"[""Jacquelyn Mitchard""]",3.87,120511,1818,1818,"Mar 12, 1999",The Deep End of the Ocean,40000000,13508635,"$13,508,635",1801,"The Deep End of the Ocean,1999"
811,"Derailed (2003), James Siegel",Derailed (2005),Derailed,2005,"Derailed,2005",tt0398017,Derailed,Derailed,0,2005,108,"Crime,Drama,Thriller",6.6,78334,Derailed,Derailed,James Siegel,"Derailed,James Siegel",Derailed,"[""James Siegel""]",3.77,2536,2847,2847,"Nov 11, 2005",Derailed,22000000,36020063,"$57,520,063",2801,"Derailed,2005"
856,"The Devil Wears Prada (2003), Lauren Weisberger",The Devil Wears Prada (2006),The Devil Wears Prada,2006,"The Devil Wears Prada,2006",tt0458352,The Devil Wears Prada,The Devil Wears Prada,0,2006,109,"Comedy,Drama",7,512364,The Devil Wears Prada,The Devil Wears Prada,Lauren Weisberger,"The Devil Wears Prada,Lauren Weisberger",The Devil Wears Prada,"[""Lauren Weisberger""]",3.8,894089,1959,1959,"Jun 30, 2006",The Devil Wears Prada,35000000,124740460,"$326,073,155",1901,"The Devil Wears Prada,2006"
868,"Diamonds Are Forever (1956), Ian Fleming",Diamonds Are Forever (1971),Diamonds Are Forever,1971,"Diamonds Are Forever,1971",tt0066995,Diamonds Are Forever,Diamonds Are Forever,0,1971,120,"Action,Adventure,Thriller",6.5,119858,Diamonds Are Forever,Diamonds Are Forever,Ian Fleming,"Diamonds Are Forever,Ian Fleming",Diamonds Are Forever,"[""Ian Fleming""]",3.64,22423,4656,4656,"Nov 26, 1971",Diamonds Are Forever,7200000,43800000,"$115,999,985",4601,"Diamonds Are Forever,1971"
881,"Disclosure (1994), Michael Crichton",Disclosure (1994),Disclosure,1994,"Disclosure,1994",tt0109635,Disclosure,Disclosure,0,1994,128,"Drama,Thriller",6.2,57206,Disclosure,Disclosure,Michael Crichton,"Disclosure,Michael Crichton",Disclosure,"[""Michael Crichton""]",3.79,72518,1239,1239,"Dec 9, 1994",Disclosure,55000000,83015089,"$212,200,000",1201,"Disclosure,1994"
887,"Do Androids Dream of Electric Sheep? (1967), Philip K. Dick",Blade Runner (1982),Blade Runner,1982,"Blade Runner,1982",tt0083658,Blade Runner,Blade Runner,0,1982,117,"Action,Drama,Sci-Fi",8.1,866084,Blade Runner,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Do Androids Dream of Electric Sheep?,Philip K. Dick",Do Androids Dream of Electric Sheep?,"[""Philip K. Dick""]",4.09,457875,2443,2443,"Jun 25, 1982",Blade Runner,28000000,32656328,"$39,581,774",2401,"Blade Runner,1982"
888,"Do Androids Dream of Electric Sheep? (1967), Philip K. Dick",Blade Runner 2049 (2017),Blade Runner 2049,2017,"Blade Runner 2049,2017",tt1856101,Blade Runner 2049,Blade Runner 2049,0,2017,164,"Action,Drama,Mystery",8,730378,Blade Runner 2049,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Do Androids Dream of Electric Sheep?,Philip K. Dick",Do Androids Dream of Electric Sheep?,"[""Philip K. Dick""]",4.09,457875,137,137,"Sep 29, 2017",Blade Runner 2049,185000000,92054159,"$259,154,159",101,"Blade Runner 2049,2017"
897,"Doctor Sleep (2013), Stephen King",Doctor Sleep (2019),Doctor Sleep,2019,"Doctor Sleep,2019",tt5606664,Doctor Sleep,Doctor Sleep,0,2019,152,"Drama,Fantasy,Horror",7.3,236237,Doctor Sleep,Doctor Sleep,Stephen King,"Doctor Sleep,Stephen King",Doctor Sleep,"[""Stephen King""]",4.13,264964,1569,1569,"Oct 31, 2019",Doctor Sleep,45000000,31581712,"$72,381,712",1501,"Doctor Sleep,2019"
898,"Doctor Zhivago (1957), Boris Pasternak",Doctor Zhivago (1965),Doctor Zhivago,1965,"Doctor Zhivago,1965",tt0059113,Doctor Zhivago,Doctor Zhivago,0,1965,197,"Drama,Romance,War",7.9,85562,Doctor Zhivago,Doctor Zhivago,Boris Pasternak,"Doctor Zhivago,Boris Pasternak",Doctor Zhivago,"[""Boris Pasternak""]",4.01,97334,4045,4045,"Dec 22, 1965",Doctor Zhivago,11000000,111897830,"$112,101,408",4001,"Doctor Zhivago,1965"
1055,"Dreamcatcher (2001), Stephen King",Dreamcatcher (2003),Dreamcatcher,2003,"Dreamcatcher,2003",tt0285531,Dreamcatcher,Dreamcatcher,0,2003,134,"Drama,Horror,Sci-Fi",5.5,99634,Dreamcatcher,Dreamcatcher,Stephen King,"Dreamcatcher,Stephen King",Dreamcatcher,"[""Stephen King""]",3.65,176602,963,963,"Mar 21, 2003",Dreamcatcher,68000000,33685268,"$75,685,268",901,"Dreamcatcher,2003"
1065,"Dune (1965), Frank Herbert",Dune (1984),Dune,1984,"Dune,1984",tt0087182,Dune,Dune,0,1984,137,"Action,Adventure,Sci-Fi",6.2,190355,Dune,Dune,Frank Herbert,"Dune,Frank Herbert",Dune,"[""Frank Herbert""]",4.27,1401233,1572,1572,"Dec 14, 1984",Dune,45000000,27961341,"$28,018,540",1501,"Dune,1984"
1067,"Dune (1965), Frank Herbert",Dune: Part Two (2024),Dune: Part Two,2024,"Dune: Part Two,2024",tt15239678,Dune: Part Two,Dune: Part Two,0,2024,166,"Action,Adventure,Drama",8.4,672699,Dune: Part Two,Dune,Frank Herbert,"Dune,Frank Herbert",Dune,"[""Frank Herbert""]",4.27,1401233,120,120,"Feb 28, 2024",Dune: Part Two,190000000,282709065,"$715,206,195",101,"Dune: Part Two,2024"
1071,"The Eagle of the Ninth (1954), Rosemary Sutcliff",The Eagle (2011),The Eagle,2011,"The Eagle,2011",tt1034389,The Eagle,The Eagle,0,2011,114,"Action,Adventure,Drama",6.2,76644,The Eagle,The Eagle of the Ninth,Rosemary Sutcliff,"The Eagle of the Ninth,Rosemary Sutcliff",The Eagle of the Ninth,"[""Rosemary Sutcliff""]",3.94,11146,2654,2654,"Feb 11, 2011",The Eagle,25000000,19490041,"$38,993,548",2601,"The Eagle,2011"
1074,"Eaters of the Dead (1976), Michael Crichton",The 13th Warrior (1999),The 13th Warrior,1999,"The 13th Warrior,1999",tt0120657,The 13th Warrior,The 13th Warrior,0,1999,102,"Action,Adventure,History",6.6,137317,The 13th Warrior,Eaters of the Dead,Michael Crichton,"Eaters of the Dead,Michael Crichton",Eaters of the Dead,"[""Michael Crichton""]",3.7,42748,383,383,"Aug 27, 1999",The 13th Warrior,125000000,32698899,"$61,698,899",301,"The 13th Warrior,1999"
1076,"The Egyptian (Finnish: Sinuhe egyptiläinen, Sinuhe the Egyptian) (1945), Mika Waltari",The Egyptian (1954),The Egyptian,1954,"The Egyptian,1954",tt0046949,The Egyptian,The Egyptian,0,1954,139,Drama,6.5,4809,The Egyptian,The Egyptian,Mika Waltari,"The Egyptian,Mika Waltari",The Egyptian,"[""Mika Waltari""]",4.21,24666,5030,5030,"Aug 24, 1954",The Egyptian,5000000,15000000,"$15,000,000",5001,"The Egyptian,1954"
1076,"The Egyptian (Finnish: Sinuhe egyptiläinen, Sinuhe the Egyptian) (1945), Mika Waltari",The Egyptian (1954),The Egyptian,1954,"The Egyptian,1954",tt0046949,The Egyptian,The Egyptian,0,1954,139,Drama,6.5,4809,The Egyptian,The Egyptian,Mika Waltari,"The Egyptian,Mika Waltari",The Egyptian,"[""Mika Waltari""]",4.19,24849,5030,5030,"Aug 24, 1954",The Egyptian,5000000,15000000,"$15,000,000",5001,"The Egyptian,1954"
1077,"Election (1998), Tom Perrotta",Election (1999),Election,1999,"Election,1999",tt0126886,Election,Election,0,1999,103,"Comedy,Romance",7.2,109732,Election,Election,Tom Perrotta,"Election,Tom Perrotta",Election,"[""Tom Perrotta""]",3.82,12047,4493,4493,"Apr 23, 1999",Election,8500000,14943582,"$17,202,854",4401,"Election,1999"
1080,"Elmer Gantry (1927), Sinclair Lewis",Elmer Gantry (1960),Elmer Gantry,1960,"Elmer Gantry,1960",tt0053793,Elmer Gantry,Elmer Gantry,0,1960,146,Drama,7.7,14099,Elmer Gantry,Elmer Gantry,Sinclair Lewis,"Elmer Gantry,Sinclair Lewis",Elmer Gantry,"[""Sinclair Lewis""]",4.01,5928,5492,5492,"Jul 7, 1960",Elmer Gantry,3000000,10400000,"$10,400,064",5401,"Elmer Gantry,1960"
1084,"Emma (1815), Jane Austen",Clueless (1995),Clueless,1995,"Clueless,1995",tt0112697,Clueless,Clueless,0,1995,97,"Comedy,Romance",6.9,270614,Clueless,Emma,Jane Austen,"Emma,Jane Austen",Emma,"[""Jane Austen""]",4.05,895426,3776,3776,"Jul 19, 1995",Clueless,13700000,56631572,"$58,052,788",3701,"Clueless,1995"
1084,"Emma (1815), Jane Austen",Clueless (1995),Clueless,1995,"Clueless,1995",tt0112697,Clueless,Clueless,0,1995,97,"Comedy,Romance",6.9,270614,Clueless,Emma,Jane Austen,"Emma,Jane Austen",Emma,"[""Jane Austen""]",4.05,869689,3776,3776,"Jul 19, 1995",Clueless,13700000,56631572,"$58,052,788",3701,"Clueless,1995"
1085,"Emma (1815), Jane Austen",Emma (1996),Emma,1996,"Emma,1996",tt0116191,Emma,Emma,0,1996,120,"Comedy,Drama,Romance",6.6,43436,Emma,Emma,Jane Austen,"Emma,Jane Austen",Emma,"[""Jane Austen""]",4.05,895426,4914,4914,"Aug 2, 1996",Emma,5900000,22231658,"$37,831,658",4901,"Emma,1996"
1085,"Emma (1815), Jane Austen",Emma (1996),Emma,1996,"Emma,1996",tt0116191,Emma,Emma,0,1996,120,"Comedy,Drama,Romance",6.6,43436,Emma,Emma,Jane Austen,"Emma,Jane Austen",Emma,"[""Jane Austen""]",4.05,869689,4914,4914,"Aug 2, 1996",Emma,5900000,22231658,"$37,831,658",4901,"Emma,1996"
1086,"Emma (1815), Jane Austen",Emma (1996)[N 1],Emma,1996,"Emma,1996",tt0116191,Emma,Emma,0,1996,120,"Comedy,Drama,Romance",6.6,43436,Emma,Emma,Jane Austen,"Emma,Jane Austen",Emma,"[""Jane Austen""]",4.05,895426,4914,4914,"Aug 2, 1996",Emma,5900000,22231658,"$37,831,658",4901,"Emma,1996"
1086,"Emma (1815), Jane Austen",Emma (1996)[N 1],Emma,1996,"Emma,1996",tt0116191,Emma,Emma,0,1996,120,"Comedy,Drama,Romance",6.6,43436,Emma,Emma,Jane Austen,"Emma,Jane Austen",Emma,"[""Jane Austen""]",4.05,869689,4914,4914,"Aug 2, 1996",Emma,5900000,22231658,"$37,831,658",4901,"Emma,1996"
1088,"Emma (1815), Jane Austen",Emma. (2020),Emma.,2020,"Emma.,2020",tt9214832,Emma.,Emma.,0,2020,124,"Comedy,Drama,Romance",6.7,69111,Emma.,Emma,Jane Austen,"Emma,Jane Austen",Emma,"[""Jane Austen""]",4.05,895426,4241,4241,"Feb 13, 2020",Emma.,10000000,10055355,"$27,365,788",4201,"Emma.,2020"
1088,"Emma (1815), Jane Austen",Emma. (2020),Emma.,2020,"Emma.,2020",tt9214832,Emma.,Emma.,0,2020,124,"Comedy,Drama,Romance",6.7,69111,Emma.,Emma,Jane Austen,"Emma,Jane Austen",Emma,"[""Jane Austen""]",4.05,869689,4241,4241,"Feb 13, 2020",Emma.,10000000,10055355,"$27,365,788",4201,"Emma.,2020"
1100,"The End of the Affair (1951), Graham Greene",The End of the Affair (1999),The End of the Affair,1999,"The End of the Affair,1999",tt0172396,The End of the Affair,The End of the Affair,0,1999,102,"Drama,Mystery,Romance",7,25080,The End of the Affair,The End of the Affair,Graham Greene,"The End of the Affair,Graham Greene",The End of the Affair,"[""Graham Greene""]",3.9,65173,2815,2815,"Dec 3, 1999",The End of the Affair,23000000,10660147,"$10,660,147",2801,"The End of the Affair,1999"
1106,"The English Patient (1992), Michael Ondaatje",The English Patient (1996),The English Patient,1996,"The English Patient,1996",tt0116209,The English Patient,The English Patient,0,1996,162,"Drama,Romance,War",7.4,210785,The English Patient,The English Patient,Michael Ondaatje,"The English Patient,Michael Ondaatje",The English Patient,"[""Michael Ondaatje""]",3.86,132899,1968,1968,"Nov 15, 1996",The English Patient,35000000,78716374,"$231,710,008",1901,"The English Patient,1996"
1109,"Eragon (2003), Christopher Paolini",Eragon (2006),Eragon,2006,"Eragon,2006",tt0449010,Eragon,Eragon,0,2006,104,"Action,Adventure,Family",5.1,133505,Eragon,Eragon,Christopher Paolini,"Eragon,Christopher Paolini",Eragon,"[""Christopher Paolini""]",3.95,1794780,512,512,"Dec 15, 2006",Eragon,100000000,75030163,"$249,488,115",501,"Eragon,2006"
1115,"Escape to Witch Mountain (1968), Alexander Key",Race to Witch Mountain (2009),Race to Witch Mountain,2009,"Race to Witch Mountain,2009",tt1075417,Race to Witch Mountain,Race to Witch Mountain,0,2009,98,"Action,Adventure,Family",5.7,65430,Race to Witch Mountain,Escape to Witch Mountain,Alexander Key,"Escape to Witch Mountain,Alexander Key",Escape to Witch Mountain,"[""Alexander Key""]",3.9,3565,1366,1366,"Mar 13, 2009",Race to Witch Mountain,50000000,67172595,"$105,103,784",1301,"Race to Witch Mountain,2009"
1129,"The Exorcist (1971), William Peter Blatty",The Exorcist (1973),The Exorcist,1973,"The Exorcist,1973",tt0070047,The Exorcist,The Exorcist,0,1973,122,Horror,8.1,487267,The Exorcist,The Exorcist,William Peter Blatty,"The Exorcist,William Peter Blatty",The Exorcist,"[""William Peter Blatty""]",4.2,237545,3901,3901,"Dec 26, 1973",The Exorcist,12000000,231020723,"$428,887,784",3901,"The Exorcist,1973"
1130,"The Exorcist (1971), William Peter Blatty",Exorcist II: The Heretic (1977),Exorcist II: The Heretic,1977,"Exorcist II: The Heretic,1977",tt0076009,Exorcist II: The Heretic,Exorcist II: The Heretic,0,1977,117,Horror,3.8,30138,Exorcist II: The Heretic,The Exorcist,William Peter Blatty,"The Exorcist,William Peter Blatty",The Exorcist,"[""William Peter Blatty""]",4.2,237545,3736,3736,"Jun 17, 1977",Exorcist II: The Heretic,14000000,25011000,"$25,011,000",3701,"Exorcist II: The Heretic,1977"
1132,"The Exorcist (1971), William Peter Blatty",Exorcist: The Beginning (2004),Exorcist: The Beginning,2004,"Exorcist: The Beginning,2004",tt0204313,Exorcist: The Beginning,Exorcist: The Beginning,0,2004,114,"Horror,Mystery,Thriller",5.1,41773,Exorcist: The Beginning,The Exorcist,William Peter Blatty,"The Exorcist,William Peter Blatty",The Exorcist,"[""William Peter Blatty""]",4.2,237545,795,795,"Aug 20, 2004",Exorcist: The Beginning,78000000,41814863,"$43,957,541",701,"Exorcist: The Beginning,2004"
1134,"The Exorcist (1971), William Peter Blatty",The Exorcist: Believer (2023),The Exorcist: Believer,2023,"The Exorcist: Believer,2023",tt12921446,The Exorcist: Believer,The Exorcist: Believer,0,2023,111,Horror,4.8,49180,The Exorcist: Believer,The Exorcist,William Peter Blatty,"The Exorcist,William Peter Blatty",The Exorcist,"[""William Peter Blatty""]",4.2,237545,2215,2215,"Oct 4, 2023",The Exorcist: Believer,30000000,65537395,"$136,998,069",2201,"The Exorcist: Believer,2023"
1173,"Fear and Loathing in Las Vegas (1971), Hunter S. Thompson",Fear and Loathing in Las Vegas (1998),Fear and Loathing in Las Vegas,1998,"Fear and Loathing in Las Vegas,1998",tt0120669,Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,0,1998,118,"Adventure,Comedy,Drama",7.5,314390,Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,Hunter S. Thompson,"Fear and Loathing in Las Vegas,Hunter S. Thompson",Fear and Loathing in Las Vegas,"[""Hunter S. Thompson""]",4.07,352193,3229,3229,"May 22, 1998",Fear and Loathing in Las Vegas,18500000,10680275,"$13,711,903",3201,"Fear and Loathing in Las Vegas,1998"
1179,"Fever Pitch (1992), Nick Hornby",Fever Pitch (2005),Fever Pitch,2005,"Fever Pitch,2005",tt0332047,Fever Pitch,Fever Pitch,0,2005,104,"Comedy,Drama,Romance",6.2,49393,Fever Pitch,Fever Pitch,Nick Hornby,"Fever Pitch,Nick Hornby",Fever Pitch,"[""Nick Hornby""]",3.77,41218,1746,1746,"Apr 8, 2005",Fever Pitch,40000000,42071069,"$50,071,069",1701,"Fever Pitch,2005"
1184,"Fight Club (1996), Chuck Palahniuk",Fight Club (1999),Fight Club,1999,"Fight Club,1999",tt0137523,Fight Club,Fight Club,0,1999,139,"Crime,Drama,Thriller",8.8,2524439,Fight Club,Fight Club,Chuck Palahniuk,"Fight Club,Chuck Palahniuk",Fight Club,"[""Chuck Palahniuk""]",4.19,597253,1017,1017,"Oct 15, 1999",Fight Club,65000000,37030102,"$100,820,947",1001,"Fight Club,1999"
1189,"Firefox (1977), Craig Thomas",Firefox (1982),Firefox,1982,"Firefox,1982",tt0083943,Firefox,Firefox,0,1982,136,"Action,Adventure,Thriller",5.9,30837,Firefox,Firefox,Craig Thomas,"Firefox,Craig Thomas",Firefox,"[""Craig Thomas""]",3.94,5973,2892,2892,"Jun 18, 1982",Firefox,21000000,45785720,"$45,785,720",2801,"Firefox,1982"
1192,"Firestarter (1980), Stephen King",Firestarter (1984),Firestarter,1984,"Firestarter,1984",tt0087262,Firestarter,Firestarter,0,1984,114,"Action,Horror,Sci-Fi",6.1,38910,Firestarter,Firestarter,Stephen King,"Firestarter,Stephen King",Firestarter,"[""Stephen King""]",3.91,230728,3605,3605,"May 11, 1984",Firestarter,15000000,15136870,"$15,136,870",3601,"Firestarter,1984"
1196,"First Blood (1972), David Morrell",First Blood (1982),First Blood,1982,"First Blood,1982",tt0083944,First Blood,First Blood,0,1982,93,"Action,Adventure,Thriller",7.7,294478,First Blood,First Blood,David Morrell,"First Blood,David Morrell",First Blood,"[""David Morrell""]",4.04,9947,3722,3722,"Oct 22, 1982",First Blood,14000000,47212904,"$125,212,904",3701,"First Blood,1982"
1197,"First Blood (1972), David Morrell",Rambo: First Blood Part II (1985),Rambo: First Blood Part II,1985,"Rambo: First Blood Part II,1985",tt0089880,Rambo: First Blood Part II,Rambo: First Blood Part II,0,1985,96,"Action,Adventure,Thriller",6.5,192384,Rambo: First Blood Part II,First Blood,David Morrell,"First Blood,David Morrell",First Blood,"[""David Morrell""]",4.04,9947,1613,1613,"May 22, 1985",Rambo: First Blood Part II,44000000,150415432,"$300,400,000",1601,"Rambo: First Blood Part II,1985"
