movie_match,...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,book_year_str,book_year,book_movie_years,ROI
"A Time to Kill,1996",3258,"A Time to Kill (1989), John Grisham",A Time to Kill (1996),A Time to Kill,1996,"A Time to Kill,1996",tt0117913,A Time to Kill,A Time to Kill,0,1996,149,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.5,194465,A Time to Kill,A Time to Kill,John Grisham,"A Time to Kill,John Grisham",A Time to Kill,"[""John Grisham""]",4.11,804202,NA,NA,NA,NA,NA,NA,NA,1677,1677,"Jul 24, 1996",A Time to Kill,40000000,108766007,152266007,1601,1989,1989,7,2.806650175
"A Walk to Remember,2002",3426,"A Walk to Remember (1999), Nicholas Sparks",A Walk to Remember (2002),A Walk to Remember,2002,"A Walk to Remember,2002",tt0281358,A Walk to Remember,A Walk to Remember,0,2002,101,"Drama,Romance",Drama,Romance,NA,7.3,228783,A Walk to Remember,A Walk to Remember,Nicholas Sparks,"A Walk to Remember,Nicholas Sparks",A Walk to Remember,"[""Nicholas Sparks""]",4.2,809386,NA,NA,NA,NA,NA,NA,NA,4054,4054,"Jan 25, 2002",A Walk to Remember,11000000,41227069,46060861,4001,1999,1999,3,3.187351
"A Wrinkle in Time,2018",3621,"A Wrinkle in Time (1962), Madeleine L'Engle",A Wrinkle in Time (2018),A Wrinkle in Time,2018,"A Wrinkle in Time,2018",tt1620680,A Wrinkle in Time,A Wrinkle in Time,0,2018,109,"Adventure,Drama,Family",Adventure,Drama,Family,4.3,49278,A Wrinkle in Time,A Wrinkle in Time,Madeleine L'Engle,"A Wrinkle in Time,Madeleine L'Engle",A Wrinkle in Time,"[""Madeleine L'Engle""]",3.98,1211421,NA,NA,NA,NA,NA,NA,NA,474,474,"Mar 9, 2018",A Wrinkle in Time,103000000,100478608,133214549,401,1962,1962,56,0.2933451359223301
"Abandon,2002",15,"Adams Fall (2000), Sean Desmond",Abandon (2002),Abandon,2002,"Abandon,2002",tt0267248,Abandon,Abandon,0,2002,99,"Drama,Mystery,Romance",Drama,Mystery,Romance,4.8,10383,Abandon,Adams Fall,Sean Desmond,"Adams Fall,Sean Desmond",Adams Fall,"[""Sean Desmond""]",3.24,111,NA,NA,NA,NA,NA,NA,NA,2693,2693,"Oct 18, 2002",Abandon,25000000,10719367,12219367,2601,2000,2000,2,-0.51122532
"About Schmidt,2002",10,"About Schmidt (1996), Louis Begley",About Schmidt (2002),About Schmidt,2002,"About Schmidt,2002",tt0257360,About Schmidt,About Schmidt,0,2002,125,Drama,Drama,NA,NA,7.2,136932,About Schmidt,About Schmidt,Louis Begley,"About Schmidt,Louis Begley",About Schmidt,"[""Louis Begley""]",3.22,853,NA,NA,NA,NA,NA,NA,NA,2217,2217,"Dec 13, 2002",About Schmidt,30000000,65005217,107054484,2201,1996,1996,6,2.5684828
"About a Boy,2002",9,"About a Boy (1998), Nick Hornby",About a Boy (2002),About a Boy,2002,"About a Boy,2002",tt0276751,About a Boy,About a Boy,0,2002,101,"Comedy,Drama,Romance",Comedy,Drama,Romance,7.1,197660,About a Boy,About a Boy,Nick Hornby,"About a Boy,Nick Hornby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2483,2483,"May 17, 2002",About a Boy,27000000,40803000,130759651,2401,1998,1998,4,3.842950037037037
"Absolute Power,1997",11,"Absolute Power (1996), David Baldacci",Absolute Power (1997),Absolute Power,1997,"Absolute Power,1997",tt0118548,Absolute Power,Absolute Power,0,1997,121,"Action,Crime,Drama",Action,Crime,Drama,6.7,63742,Absolute Power,Absolute Power,David Baldacci,"Absolute Power,David Baldacci",Absolute Power,"[""David Baldacci""]",4.2,107165,NA,NA,NA,NA,NA,NA,NA,1383,1383,"Feb 14, 1997",Absolute Power,50000000,50068310,50068310,1301,1996,1996,1,0.0013662
"After Hours,1985",3314,"The Trial (1925), Franz Kafka",After Hours (1985),After Hours,1985,"After Hours,1985",tt0088680,After Hours,After Hours,0,1985,97,"Comedy,Crime,Drama",Comedy,Crime,Drama,7.6,91890,After Hours,The Trial,Franz Kafka,"The Trial,Franz Kafka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5191,5191,"Sep 13, 1985",After Hours,4500000,10673287,10688817,5101,1925,1925,60,1.3752926666666667
"After,2019",94,"After (2017), Anna Todd",After (2019),After,2019,"After,2019",tt4126476,After,After,0,2019,105,"Drama,Romance",Drama,Romance,NA,5.3,73516,After,After,Anna Todd,"After,Anna Todd",After,"[""Anna Todd""]",3.71,335184,NA,NA,NA,NA,NA,NA,NA,3750,3750,"Apr 12, 2019",After,14000000,12138565,57926850,3701,2017,2017,2,3.137632142857143
"All the Pretty Horses,2000",126,"All the Pretty Horses (1992), Cormac McCarthy",All the Pretty Horses (2000),All the Pretty Horses,2000,"All the Pretty Horses,2000",tt0149624,All the Pretty Horses,All the Pretty Horses,0,2000,116,"Drama,Romance,Western",Drama,Romance,Western,5.8,16188,All the Pretty Horses,All the Pretty Horses,Cormac McCarthy,"All the Pretty Horses,Cormac McCarthy",All the Pretty Horses,"[""Cormac McCarthy""]",4.04,126351,NA,NA,NA,NA,NA,NA,NA,1590,1590,"Dec 22, 2000",All the Pretty Horses,45000000,15527125,18120267,1501,1992,1992,8,-0.5973274
"Along Came a Spider,2001",132,"Along Came a Spider (1993), James Patterson",Along Came a Spider (2001),Along Came a Spider,2001,"Along Came a Spider,2001",tt0164334,Along Came a Spider,Along Came a Spider,0,2001,104,"Crime,Drama,Mystery",Crime,Drama,Mystery,6.4,101474,Along Came a Spider,Along Came a Spider,James Patterson,"Along Came a Spider,James Patterson",Along Came a Spider,"[""James Patterson""]",4.13,461048,NA,NA,NA,NA,NA,NA,NA,2417,2417,"Apr 6, 2001",Along Came a Spider,28000000,74058698,105159085,2401,1993,1993,8,2.755681607142857
"American Psycho,2000",141,"American Psycho (1991), Bret Easton Ellis",American Psycho (2000),American Psycho,2000,"American Psycho,2000",tt0144084,American Psycho,American Psycho,0,2000,102,"Crime,Drama,Horror",Crime,Drama,Horror,7.6,802924,American Psycho,American Psycho,Bret Easton Ellis,"American Psycho,Bret Easton Ellis",American Psycho,"[""Bret Easton Ellis""]",3.81,318731,NA,NA,NA,NA,NA,NA,NA,4550,4550,"Apr 14, 2000",American Psycho,8000000,15070285,34270285,4501,1991,1991,9,3.283785625
