"X1","X2"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio (2012)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio (2019)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio: A True Story (2022)"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio (2022)[N 3]"
"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Guillermo del Toro's Pinocchio (2022)"
"The Adventures of Sherlock Holmes (serialised 1891–1892, published as a book 1892), Arthur Conan Doyle","Sherlock Holmes (1916)"
"The Adventures of Sherlock Holmes (serialised 1891–1892, published as a book 1892), Arthur Conan Doyle","Sherlock Holmes (1922)"
"The Adventures of Sherlock Holmes (serialised 1891–1892, published as a book 1892), Arthur Conan Doyle","The Speckled Band (1931)"
"The Adventures of Sherlock Holmes (serialised 1891–1892, published as a book 1892), Arthur Conan Doyle","The Adventures of Sherlock Holmes (1939)"
"The Adventures of Sherlock Holmes (serialised 1891–1892, published as a book 1892), Arthur Conan Doyle","The House of Fear (1945)"
"The Adventures of Sherlock Holmes (serialised 1891–1892, published as a book 1892), Arthur Conan Doyle","The Blue Carbuncle (Russian: Голубой карбункул) (1980)[N 1]"
"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer (1917)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Huck and Tom (1918)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer (1930)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer (1936)"
"The Adventures of Tom Sawyer (1876), Mark Twain","The Adventures of Tom Sawyer (1938)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer, Detective (1938)"
"The Adventures of Tom Sawyer (1876), Mark Twain","The Adventures of Mark Twain (1944)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer (1973)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer (1973)[N 1]"
"The Adventures of Tom Sawyer (1876), Mark Twain","Páni kluci (1976)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Rascals and Robbers: The Secret Adventures of Tom Sawyer and Huckleberry Finn (1982)[N 1]"
"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer (1984)"
"The Adventures of Tom Sawyer (1876), Mark Twain","The Adventures of Mark Twain (1986)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn (1990)[N 1]"
"The Adventures of Tom Sawyer (1876), Mark Twain","Tom and Huck (1995)"
"The Adventures of Tom Sawyer (1876), Mark Twain","The Animated Adventures of Tom Sawyer (1998)[N 1]"
"The Adventures of Tom Sawyer (1876), Mark Twain","The Modern Adventures of Tom Sawyer (1998)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer (2000)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Tom Sawyer & Huckleberry Finn (2014)"
"The Adventures of Tom Sawyer (1876), Mark Twain","Band of Robbers (2015)"
"Advise and Consent (1959), Allen Drury","Advise & Consent (1962)"
"Aelita (1923) (a. k. a. Aelita or, The Decline of Mars), Alexei Tolstoy","Aelita (1924)"
"The African Queen (1935), C. S. Forester","The African Queen (1951)"
"After (2017), Anna Todd","After (2019)"
"After Dark, My Sweet (1955), Jim Thompson","After Dark, My Sweet (1990)"
"After Hours (1979), Edwin Torres","Carlito's Way (1993)"
"After the Funeral (1953), Agatha Christie","Murder at the Gallop (1963)"
"The Age of Innocence (1921), Edith Wharton","The Age of Innocence (1924)"
"The Age of Innocence (1921), Edith Wharton","The Age of Innocence (1928)"
"The Age of Innocence (1921), Edith Wharton","The Age of Innocence (1934)"
"The Age of Innocence (1921), Edith Wharton","The Age of Innocence (1993)"
"The Agony and the Ecstasy (1961), Irving Stone","The Agony and the Ecstasy (1965)"
"Aimez-vous Brahms? (1959), Françoise Sagan","Goodbye Again (1961)"
"Aimez-vous Brahms? (1959), Françoise Sagan","Jahan Tum Le Chalo (1999)"
"Airborn (2004), Kenneth Oppel","Airborn (2012)"
"Airport (1968), Arthur Hailey","Airport (1970)"
"Airport (1968), Arthur Hailey","Airport 1975 (1975)"
"Airport (1968), Arthur Hailey","Airport '77 (1977)"
"Airport (1968), Arthur Hailey","The Concorde ... Airport '79 (1979)"
"Alice Adams (1921), Booth Tarkington","Alice Adams (1923)"
"Alice Adams (1921), Booth Tarkington","Alice Adams (1935)"
"Allan Quatermain (1887), Sir H. Rider Haggard","Allan Quatermain and the Lost City of Gold (1987)"
"All Fall Down (1960), James Leo Herlihy","All Fall Down (1962)"
"All Men Are Mortal (French: Tous les hommes sont mortels) (1946), Simone de Beauvoir","All Men Are Mortal (1995)"
"All the Brothers Were Valiant (1919), Ben Ames Williams","All the Brothers Were Valiant (1923)"
"All the Brothers Were Valiant (1919), Ben Ames Williams","Across to Singapore (1928)"
"All the Brothers Were Valiant (1919), Ben Ames Williams","All the Brothers Were Valiant (1953)"
"All the King's Men (1946), Robert Penn Warren","All the King's Men (1949)"
"All the King's Men (1946), Robert Penn Warren","All the King's Men (2006)"
"All Quiet on the Western Front (German: Im Westen nichts Neues) (1929), Erich Maria Remarque","All Quiet on the Western Front (1930)"
"All Quiet on the Western Front (German: Im Westen nichts Neues) (1929), Erich Maria Remarque","The Road Back (1937)"
"All Quiet on the Western Front (German: Im Westen nichts Neues) (1929), Erich Maria Remarque","All Quiet on the Western Front (1979)[N 1]"
"All Quiet on the Western Front (German: Im Westen nichts Neues) (1929), Erich Maria Remarque","All Quiet on the Western Front (2022)"
"All She Was Worth (火車, Kasha) (1992), Miyuki Miyabe","Kasha: Kâdo hasan no onna! (1994)[N 1]"
"All She Was Worth (火車, Kasha) (1992), Miyuki Miyabe","Helpless (Korean: 화차; RR: Hwa-cha) (2012)"
"All the Pretty Horses (1992), Cormac McCarthy","All the Pretty Horses (2000)"
"All the Way (2001), Andy Behrens","Sex Drive (2008)"
