"X1","X2"
"The Day of the Triffids (1951), John Wyndham","The Day of the Triffids (1962)"
"The Day They Robbed the Bank of England (1959), John Brophy","The Day They Robbed the Bank of England (1960)"
"Day with a Perfect Stranger (2006), David Gregory","same as below"
"The Daybreakers (1960)[N 2], Louis L'Amour","The Sacketts (1979)[N 1]"
"Dead Calm (1963), Charles K. Williams","Dead Calm (1989)"
"The Dead End (Egyptian Arabic: الطريق المسدود, Al-Tareeq al-Masdood) (1955), Ihsan Abdel Quddous","The Barred Road (1958)"
"The Dead Take No Bows (1941),  Richard Bruke","Dressed to Kill (1941)"
"The Dead Zone (1979), Stephen King","The Dead Zone (1983)"
"Deadline at Dawn (1944), Cornell Woolrich[N 3]","Deadline at Dawn (1946)"
"The Deadly Duo (1959), Richard Jessup","The Deadly Duo (1962)"
"Deadly, Unna? (1998), Phillip Gwynne","Australian Rules (2002)"
"Dealing: or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues (1970), Michael Crichton and Douglas Crichton[N 4]","Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues (1972)"
"Dear John (2006), Nicholas Sparks","Dear John (2010)"
"Death in Venice (German: Der Tod in Venedig) (1912), Thomas Mann","Death in Venice (1971)"
"Death Notice (Chinese: 死亡通知单：暗黑者) (2014), Zhou Haohui","Death Notice (Chinese: 暗殺風暴) (2023)"
"Death of a Common Man (1946), Desmond Holdridge","The End of the River (1947)"
"The Death of Arthur (French: Le Morte d'Arthur) (1485), Sir Thomas Malory","Knights of the Round Table (1953)"
"The Death of Arthur (French: Le Morte d'Arthur) (1485), Sir Thomas Malory","Excalibur (1981)"
"Death on the Nile (1937), Agatha Christie","Death on the Nile (1978)"
"Death on the Nile (1937), Agatha Christie","Death on the Nile (2004)[N 1]"
"Death on the Nile (1937), Agatha Christie","Death on the Nile (2022)"
"Death Sentence (1975), Brian Garfield","Death Sentence (2007)"
"Death Wish (1972), Brian Garfield","Death Wish (1974)"
"Death Wish (1972), Brian Garfield","Death Wish (2018)"
"The Deceivers (1952), John Masters","The Deceivers (1988)"
"December Boys (1963), Michael Noonan","December Boys (2007)"
"The Deep (1976), Peter Benchley","The Deep (1977)"
"The Deep End of the Ocean (1996), Jacquelyn Mitchard","The Deep End of the Ocean (1999)"
"Deep Water (1957), Patricia Highsmith","Eaux profondes (1981)"
"Deep Water (1957), Patricia Highsmith","Deep Water (2022)"
"Deliverance (1970), James Dickey","Deliverance (1972)"
"The Deluge (1886), Henryk Sienkiewicz","The Deluge (1974)"
"Deluge (1928), S. Fowler Wright","Deluge (1933)"
"Demon City Shinjuku (魔界都市〈新宿〉, Makai Toshi: Shinjuku) (1982), Hideyuki Kikuchi","Demon City Shinjuku (1988)"
"Demon Seed (1973), Dean Koontz","Demon Seed (1977)"
"Demons (Russian: Бесы, romanized: Bésy, .mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}IPA: [ˈbʲe.sɨ]) (1872), Fyodor Dostoyevsky","The Possessed (1988)"
"Derailed (2003), James Siegel","Derailed (2005)"
"Desert Fury (1946), Ramona Stewart","Desert Fury (1947)"
"Desert Gold (1913), Zane Grey","Desert Gold (1919)"
"Desert Gold (1913), Zane Grey","Desert Gold (1926)"
"Desert Gold (1913), Zane Grey","Desert Gold (1936)"
"Desert Guns (1957), Steve Frazee","Gold of the Seven Saints (1961)"
"Desert of the Heart (1964), Jane Rule","Desert Hearts (1985)"
"The Desperate Hours (1954), Joseph Hayes","The Desperate Hours (1955)"
"The Desperate Hours (1954), Joseph Hayes","Desperate Hours (1990)"
"The Desperate Hours (1954), Joseph Hayes","36 Ghante (1974)"
"Destry Rides Again (1930), Max Brand","Destry Rides Again (1932)"
"Destry Rides Again (1930), Max Brand","Destry Rides Again (1939)"
"Destry Rides Again (1930), Max Brand","Destry (1954)"
"The Detective (1966), Roderick Thorp","The Detective (1968)"
"Detective (1997), Arthur Hailey","Detective (2005)[N 1]"
"Detective Bureau 23 (探偵事務所23, Tantei Jimusho 23) (1962), Haruhiko Oyabu","Detective Bureau 2-3: Go to Hell Bastards! (1963)"
"Detective Bureau 23 (探偵事務所23, Tantei Jimusho 23) (1962), Haruhiko Oyabu","Detective Bureau 2-3: A Man Weak to Money and Women (1963)"
"Detective in the Bar (探偵はバーにいる, Bar ni Kakatte Kita Denwa) (1981), Naomi Azuma","Detective in the Bar (探偵はBARにいる, Tantei wa bar ni iru) (2011)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (1928)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (1935)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (1936)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (1937)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devadasu (1953)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (1955)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (1965)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devadasu (1974)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Muqaddar Ka Sikandar (1978)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (1979)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Prema Tarangalu (1980)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Amara Kaaviyam (1981)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (1982)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devadas (1989)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (2002, Bengali)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (2002, Hindi)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (2004)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Dev.D (2009)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (2010)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devdas (2013)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Devi (2017)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Daas Dev (2018)"
"Devdas (Bengali: দেবদাস) (1917), Sarat Chandra Chattopadhyay","Nayakara Na Debadas (Odia: ନାୟକର ନାଁ ଦେବଦାସ) (2019)"
"The Devil All the Time (2011), Donald Ray Pollock","The Devil All the Time (2020)"
"The Devil in the Flesh (French: Le Diable au corps) (1923), Raymond Radiguet","Devil in the Flesh (1947)"
"The Devil in the Flesh (French: Le Diable au corps) (1923), Raymond Radiguet","Devil in the Flesh (1986)"
"The Devil Rides Out (1934), Dennis Wheatley","The Devil Rides Out (1967)"
"The Devil Wears Prada (2003), Lauren Weisberger","The Devil Wears Prada (2006)"
"The Devil's Advocate (1954), Morris West","The Devil's Advocate (German: Des Teufels Advokat) (1977)"
"The Devil's Advocate (1990), Andrew Neiderman","The Devil's Advocate (1997)"
"The Devil's Own (1966), Norah Lofts","The Witches (1966)"
"The Devils of Loudun (1952), Aldous Huxley","The Devils (1971)"
"The Devotion of Suspect X (容疑者Xの献身, Yōgisha Ekkusu no Kenshin) (2005), Keigo Higashino","Suspect X (2008)"
"The Devotion of Suspect X (容疑者Xの献身, Yōgisha Ekkusu no Kenshin) (2005), Keigo Higashino","Perfect Number (Korean: 용의자X; RR: Yonguija X) (2012)"
"The Devotion of Suspect X (容疑者Xの献身, Yōgisha Ekkusu no Kenshin) (2005), Keigo Higashino","Kolaigaran (2019)"
"The Devotion of Suspect X (容疑者Xの献身, Yōgisha Ekkusu no Kenshin) (2005), Keigo Higashino","Jaane Jaan (2023)"
"Dharamputra (Hindi: धर्मपुत्र), Acharya Chatursen","Dharmputra (1961)"
"Dharmasere (Kannada: ಧರ್ಮಸೆರೆ) (1934), G. B. Joshi[N 5]","Dharmasere (1979)"
"The Diamond Hunters (1971), Wilbur Smith","The Kingfisher Caper (1975)"
"Diamonds Are Forever (1956), Ian Fleming","Diamonds Are Forever (1971)"
"The Diary of a Country Priest (French: Journal d'un curé de campagne) (1936), Georges Bernanos","Diary of a Country Priest (1951)"
"Diary of a Mad Old Man (瘋癲老人日記, Fūten rōjin nikki) (1961), Jun'ichirō Tanizaki","Shishi no Gotoku (1962)"
"Diary of a Mad Old Man (瘋癲老人日記, Fūten rōjin nikki) (1961), Jun'ichirō Tanizaki","Diary of a Old Man (Dutch: Dagboek van een Oude Dwaas) (1987)"
"The Dice of God (1962), Hoffman Birney","The Glory Guys (1965)"
"The Dig (2007), John Preston","The Dig (2021)"
"Diner (ダイナー) (2009), Yumeaki Hirayama","Diner (2019)"
"Dinner with a Perfect Stranger: An Invitation Worth Considering (2005), David Gregory","The Perfect Stranger (2005)"
"Dinner with a Perfect Stranger: An Invitation Worth Considering (2005), David Gregory","Another Perfect Stranger (2007)"
"Dinner with a Perfect Stranger: An Invitation Worth Considering (2005), David Gregory","The Perfect Gift (2009)"
"The Dirty Dozen (1965), E. M. Nathanson","The Dirty Dozen (1967)"
"Dirty Weekend (1991), Helen Zahavi","Dirty Weekend (1993)"
"Disappearing Acts (1989), Terry McMillan","Disappearing Acts (2000)"
"Disclosure (1994), Michael Crichton","Disclosure (1994)"
"The Disorientated Man (1967), Peter Saxon","Scream and Scream Again (1970)"
"Il disprezzo (1954), Alberto Moravia","Contempt (French: Le Mépris) (1963)"
"A Distant Trumpet (1951), Paul Horgan","A Distant Trumpet (1964)"
"Divine Secrets of the Ya-Ya Sisterhood (1996), Rebecca Wells","Divine Secrets of the Ya-Ya Sisterhood (2002)"
"Le Divorce (1997), Diane Johnson","Le Divorce (2003)"
"Do Androids Dream of Electric Sheep? (1967), Philip K. Dick","Blade Runner (1982)"
"Do Androids Dream of Electric Sheep? (1967), Philip K. Dick","Blade Runner 2049 (2017)"
"Doctor (1952—1986) (series)[N 6], Richard Gordon","Doctor in the House (1954)"
"Doctor (1952—1986) (series)[N 6], Richard Gordon","Doctor at Sea (1955)"
"Doctor (1952—1986) (series)[N 6], Richard Gordon","Doctor at Large (1957)"
"Doctor (1952—1986) (series)[N 6], Richard Gordon","Doctor in Love (1960)"
"Doctor (1952—1986) (series)[N 6], Richard Gordon","Doctor in Distress (1963)"
"Doctor (1952—1986) (series)[N 6], Richard Gordon","Doctor in Clover (1966)"
"Doctor (1952—1986) (series)[N 6], Richard Gordon","Doctor in Trouble (1970)"
"Doctor Slaughter (1984), Paul Theroux","Half Moon Street (1986)"
"Doctor Sleep (2013), Stephen King","Doctor Sleep (2019)"
"Doctor Zhivago (1957), Boris Pasternak","Doctor Zhivago (1965)"
"Dodsworth (1929), Sinclair Lewis","Dodsworth (1936)"
"Does Not Give a Damn (Hebrew: לא שם זין) (1973), Dan Ben-Amotz","I Don't Give a Damn (1987)"
"Dog Soldiers (1974), Robert Stone","Who'll Stop the Rain (1978)"
"The Dogs of War (1974), Frederick Forsyth","The Dogs of War (1981)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (1908)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (French: Don Quichotte) (1908)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (1915)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","The Dream of Don Quixote (Italian: Il sogno di don Chisciotte) (1915)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (1923)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (1926)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (1933)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (1933; French)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (Spanish: Don Quijote de la Mancha) (1947)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (1955–1969)[N 8]"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (Russian: Дон Кихот, Don Kikhot) (1957)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Chisciotte and Sancio Panza (Italian: Don Chisciotte e Sancio Panza) (1968)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Man of La Mancha (1972)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quijote cabalga de nuevo (1973)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (1973)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","The Amorous Adventures of Don Quixote and Sancho Panza (1976)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (Italian: Don Chisciotte) (1983)[N 1]"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote of La Mancha (1987)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (2000)[N 1]"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote, Knight Errant (Spanish: El caballero Don Quijote) (2002)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Donkey Xote (2007)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (2010)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","Don Quixote (2015)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","The Man Who Killed Don Quixote (2018)"
"Don Quixote[N 7] (1605–1615), Miguel de Cervantes","The True Don Quixote (2019)"
"Donovan's Brain (1942), Curt Siodmak","The Lady and the Monster (1944)"
"Donovan's Brain (1942), Curt Siodmak","Donovan's Brain (1953)"
"Donovan's Brain (1942), Curt Siodmak","The Brain (1962)"
"Don't Look and It Won't Hurt (1971), Richard Peck","Gas Food Lodging (1992)"
"Don't Say a Word (1991), Andrew Klavan","Don't Say a Word (2001)"
"Don't Tell Anyone (Spanish: No se lo digas a nadie) (1994), Jaime Bayly","No se lo Digas a Nadie (Don't Tell Anyone) (1998)"
"The Dork of Cork (1993), Chet Raymo","Frankie Starlight (1995)"
"Dotonbori River (道頓堀川, Dotonborigawa) (1981), Teru Miyamoto","Dotonbori River (1982)"
"Double Indemnity (serialised 1936, published as a book 1943), James M. Cain","Double Indemnity (1944)"
"Double Indemnity (serialised 1936, published as a book 1943), James M. Cain","Double Indemnity (1973)[N 1]"
"The Double Take (1946), Roy Huggins","I Love Trouble (1948)"
"Down Will Come Baby (1991), Gloria Murphy","Down Will Come Baby (1999)"
"Dracula (1897), Bram Stoker","Dracula's Death (Hungarian: Drakula halála) (1923)"
"Dracula (1897), Bram Stoker","Nosferatu (1922)"
"Dracula (1897), Bram Stoker","Dracula (1931; English)"
"Dracula (1897), Bram Stoker","Dracula (1931; Spanish)"
"Dracula (1897), Bram Stoker","Dracula's Daughter (1936)"
"Dracula (1897), Bram Stoker","Son of Dracula (1943)"
"Dracula (1897), Bram Stoker","House of Dracula (1945)"
"Dracula (1897), Bram Stoker","Dracula in Istanbul (Turkmen: Drakula İstanbul'da) (1952)"
"Dracula (1897), Bram Stoker","Dracula (1958)"
"Dracula (1897), Bram Stoker","The Return of Dracula (1958)"
"Dracula (1897), Bram Stoker","The Brides of Dracula (1960)"
"Dracula (1897), Bram Stoker","Batman Dracula (1964)"
"Dracula (1897), Bram Stoker","Dracula: Prince of Darkness (1966)"
"Dracula (1897), Bram Stoker","Billy the Kid Versus Dracula (1966)"
"Dracula (1897), Bram Stoker","Batman Fights Dracula (1967)"
"Dracula (1897), Bram Stoker","Zinda Laash (Urdu: زندہ لاش, lit. 'Living Corpse') (1967)"
"Dracula (1897), Bram Stoker","The Empire of Dracula (Spanish: El imperio de Drácula) (1967)"
"Dracula (1897), Bram Stoker","Dracula Has Risen from the Grave (1968)"
"Dracula (1897), Bram Stoker","Santo in Dracula's Treasure (Spanish: Santo en el tesoro de Drácula) (1969)"
"Dracula (1897), Bram Stoker","Dracula (The Dirty Old Man) (1969)"
"Dracula (1897), Bram Stoker","Dracula and the Boys (1969)[1]"
"Dracula (1897), Bram Stoker","Blood of Dracula's Castle (1969)"
"Dracula (1897), Bram Stoker","Count Dracula (1970)"
"Dracula (1897), Bram Stoker","Taste the Blood of Dracula (1970)"
"Dracula (1897), Bram Stoker","Jonathan (1970)"
"Dracula (1897), Bram Stoker","Scars of Dracula (1970)"
"Dracula (1897), Bram Stoker","Count Dracula (Czech: Hrabe Drakula) (1971)[N 1]"
"Dracula (1897), Bram Stoker","Guess What Happened to Count Dracula (1971)[2]"
"Dracula (1897), Bram Stoker","Dracula vs. Frankenstein (1971)"
"Dracula (1897), Bram Stoker","Blacula (1972)"
"Dracula (1897), Bram Stoker","Dracula, Prisoner of Frankenstein (Spanish: Drácula contra Frankenstein) (1972)"
"Dracula (1897), Bram Stoker","Dracula A.D. 1972 (1972)"
"Dracula (1897), Bram Stoker","Daughter of Dracula (French: La Fille de Dracula) (1972)"
"Dracula (1897), Bram Stoker","Dracula (1972)[N 1][3]"
"Dracula (1897), Bram Stoker","Count Dracula's Great Love (Spanish: El gran amor del conde Drácula) (1973)"
"Dracula (1897), Bram Stoker","Scream Blacula Scream (1973)"
"Dracula (1897), Bram Stoker","Santo and Blue Demon vs. Dracula and the Wolf Man (Spanish: Santo y Blue Demon contra Drácula y el hombre lobo) (1973)"
"Dracula (1897), Bram Stoker","The Dracula Saga (Spanish: La saga de los Drácula) (1973)[4]"
"Dracula (1897), Bram Stoker","The Satanic Rites of Dracula (1973)"
"Dracula (1897), Bram Stoker","Bram Stoker's Dracula (1974)[N 1]"
"Dracula (1897), Bram Stoker","Blood for Dracula (1974)"
"Dracula (1897), Bram Stoker","Son of Dracula (1974)"
"Dracula (1897), Bram Stoker","The Legend of the 7 Golden Vampires (1974)"
"Dracula (1897), Bram Stoker","Vampira (1974)"
"Dracula (1897), Bram Stoker","Drakula Mantu (1974)[5]"
"Dracula (1897), Bram Stoker","Deafula (1975)"
"Dracula (1897), Bram Stoker","Dracula. Über das Interesse an Vampiren (1976)[N 1][6]"
"Dracula (1897), Bram Stoker","Dracula and Son (1976)"
"Dracula (1897), Bram Stoker","The Young Dracula (Spanish: El jovencito Drácula) (1976)[7]"
"Dracula (1897), Bram Stoker","Hard Times for Dracula (Spanish: Tiempos duros para Drácula) (1976)[8]"
"Dracula (1897), Bram Stoker","Lady Dracula (1977)"
"Dracula (1897), Bram Stoker","Dracula's Dog (1977)"
"Dracula (1897), Bram Stoker","Count Dracula (1977)[N 1]"
"Dracula (1897), Bram Stoker","Dracula Sucks (1978)"
"Dracula (1897), Bram Stoker","Nosferatu the Vampyre (1979)"
"Dracula (1897), Bram Stoker","Nocturna: Granddaughter of Dracula (1979)"
"Dracula (1897), Bram Stoker","Love at First Bite (1979)"
"Dracula (1897), Bram Stoker","Dracula (1979)"
"Dracula (1897), Bram Stoker","Dracula Blows His Cool (German: Graf Dracula in Oberbayern) (1979)"
"Dracula (1897), Bram Stoker","Hay que matar a Drácula (1979)[N 1][9]"
"Dracula (1897), Bram Stoker","Dracula: Sovereign of the Damned (闇の帝王 吸血鬼ドラキュラ, Yami no Teiō: Kyūketsuki Dorakyura) (1980)[N 1]"
"Dracula (1897), Bram Stoker","Les Charlots contre Dracula (1980)"
"Dracula (1897), Bram Stoker","Dracula in a Coffin (Korean: 棺속의 드라큐라, Kwansukui Dracula) (1982)[10]"
"Dracula (1897), Bram Stoker","Fracchia contro Dracula (1985)"
"Dracula (1897), Bram Stoker","Vampire in Venice (Italian: Nosferatu a Venezia) (1988)"
"Dracula (1897), Bram Stoker","Drácula (1991)[N 1][11]"
"Dracula (1897), Bram Stoker","Bram Stoker's Dracula (1992)"
"Dracula (1897), Bram Stoker","Dracula Rising (1993)[12]"
"Dracula (1897), Bram Stoker","Dracula: Dead and Loving It (1995)"
"Dracula (1897), Bram Stoker","Die Hard Dracula (1998)[13]"
"Dracula (1897), Bram Stoker","The Mark of Dracula (2000)[14]"
"Dracula (1897), Bram Stoker","Dracula 2000 (2000)"
"Dracula (1897), Bram Stoker","Dark Prince: The True Story of Dracula (2000)"
"Dracula (1897), Bram Stoker","Dracula: Pages from a Virgin's Diary (2002)"
"Dracula (1897), Bram Stoker","Dracula's Fiancee (French: La Fiancée de Dracula) (2002)"
"Dracula (1897), Bram Stoker","Dracula Vs Frankenstein (2002)[15]"
"Dracula (1897), Bram Stoker","Killer Barbys vs. Dracula (2002)[16]"
"Dracula (1897), Bram Stoker","Dracula II: Ascension (2003)"
"Dracula (1897), Bram Stoker","Van Helsing (2004)"
"Dracula (1897), Bram Stoker","Lust for Dracula (2004)[17]"
"Dracula (1897), Bram Stoker","Dracula 3000 (2004)"
"Dracula (1897), Bram Stoker","Bram Stoker's Way of the Vampire (2005)[18]"
"Dracula (1897), Bram Stoker","Dracula III: Legacy (2005)"
"Dracula (1897), Bram Stoker","The Batman vs. Dracula (2005)[N 9]"
"Dracula (1897), Bram Stoker","Bram Stoker's Dracula's Curse (2006)"
"Dracula (1897), Bram Stoker","Dracula (2006)[N 1]"
"Dracula (1897), Bram Stoker","Bonnie & Clyde vs. Dracula (2008)[19]"
"Dracula (1897), Bram Stoker","Dracula (2009)[20]"
"Dracula (1897), Bram Stoker","Dracula: Lord of the Damned (2011)[21]"
"Dracula (1897), Bram Stoker","Dracula 0.9 (2012)[22]"
"Dracula (1897), Bram Stoker","Terror of Dracula (2012)[23]"
"Dracula (1897), Bram Stoker","Dracula 3D (2012)"
"Dracula (1897), Bram Stoker","Dracula Reborn (2012)"
"Dracula (1897), Bram Stoker","Dear Dracula (2012)[24]"
"Dracula (1897), Bram Stoker","Dracula 2012 (2013)"
"Dracula (1897), Bram Stoker","Dracula: The Dark Prince (2013)"
"Dracula (1897), Bram Stoker","Dracula Untold (2014)"
"Dracula (1897), Bram Stoker","Dracula Reborn (2015)[25]"
"Dracula (1897), Bram Stoker","Tales of Dracula (2015)[26]"
"Dracula (1897), Bram Stoker","Dracula Goes to Camp (2017)[27]"
"Dracula (1897), Bram Stoker","Dracula in a Women's Prison (2017)[28]"
"Dracula (1897), Bram Stoker","Dracula in Love (2018)[29]"
"Dracula (1897), Bram Stoker","Nuptials of Dracula (Spanish: As Núpcias de Drácula) (2018)[30]"
"Dracula (1897), Bram Stoker","Bram Stoker's Van Helsing (2021)[31]"
"Dracula (1897), Bram Stoker","Dracula on Holiday (2021)[32]"
"Dracula (1897), Bram Stoker","Dracula: The Original Living Vampire (2022)"
"Dracula (1897), Bram Stoker","Renfield (2023)"
"Dracula (1897), Bram Stoker","Wrath of Dracula (2023)[33]"
"Dracula (1897), Bram Stoker","The Last Voyage of the Demeter (2023)"
"Dracula (1897), Bram Stoker","Nosferatu (2024)"
"The Dragon and the George (1976), Gordon R. Dickson","The Flight of Dragons (1982)[N 1]"
"Dragon Seed (1942), Pearl S. Buck","Dragon Seed (1944)"
"Dragons of Autumn Twilight (1984), Margaret Weis and Tracy Hickman","Dragonlance: Dragons of Autumn Twilight (2008)"
"Dream Days (1898), Kenneth Grahame","The Reluctant Dragon (1941)"
"The Dream Master (1966), Roger Zelazny","Dreamscape (1984)"
"Dreamcatcher (2001), Stephen King","Dreamcatcher (2003)"
"The Drift Fence (1933), Zane Grey","Drift Fence (1936)"
"Dr. No (1958), Ian Fleming","Dr. No (1962)"
"The Drowning Pool (1950), Ross Macdonald","The Drowning Pool (1975)"
"Drums Along the Mohawk (1936), Walter D. Edmonds","Drums Along the Mohawk (1939)"
"The Drums of Jeopardy (1920), Harold MacGrath","The Drums of Jeopardy (1923)"
"The Drums of Jeopardy (1920), Harold MacGrath","The Drums of Jeopardy (1931)"
"The Dude Ranger (1931), Zane Grey","The Dude Ranger (1934)"
"The Dude Ranger (1931), Zane Grey","Roll Along, Cowboy (1937)"
"Duel in the Sun (1941), Niven Busch","Duel in the Sun (1946)"
"Dune (1965), Frank Herbert","Dune (1984)"
"Dune (1965), Frank Herbert","Dune: Part One (2021)"
"Dune (1965), Frank Herbert","Dune: Part Two (2024)"
"The Dying Animal (2001), Philip Roth","Elegy (2008)"
"Dying Young (1990), Marti Leimbach","Dying Young (1991)"
"The Eagle Has Landed (1975), Jack Higgins","The Eagle Has Landed (1976)"
"The Eagle of the Ninth (1954), Rosemary Sutcliff","The Eagle (2011)"
"The Earthquake Bird (2001), Susanna Jones","Earthquake Bird (2019)"
"East of Eden (1952), John Steinbeck","East of Eden (1955)"
"Eaters of the Dead (1976), Michael Crichton","The 13th Warrior (1999)"
"Eddie and the Cruisers (1980), P. F. Kluge","Eddie and the Cruisers (1983)"
"The Egyptian (Finnish: Sinuhe egyptiläinen, Sinuhe the Egyptian) (1945), Mika Waltari","The Egyptian (1954)"
"Election (1998), Tom Perrotta","Election (1999)"
"Elephant Walk (1948), Digby George Gerahty (as Robert Standish)","Elephant Walk (1954)"
"Elles n'oublient jamais (1993), Christopher Frank","Elles n'oublient jamais (1994)"
"Elmer Gantry (1927), Sinclair Lewis","Elmer Gantry (1960)"
"Elsk meg i morgen (Love Me Tomorrow) (1999), Ingvar Ambjørnsen","Elsk meg i morgen (2005)"
"The Elusive Pimpernel (1908), Baroness Orczy","The Elusive Pimpernel (1919)"
"The Elusive Pimpernel (1908), Baroness Orczy","The Elusive Pimpernel (1950)"
"Emma (1815), Jane Austen","Clueless (1995)"
"Emma (1815), Jane Austen","Emma (1996)"
"Emma (1815), Jane Austen","Emma (1996)[N 1]"
"Emma (1815), Jane Austen","Aisha (2010)"
"Emma (1815), Jane Austen","Emma. (2020)"
"Emil and the Detectives (German: Emil und die Detektive) (1929), Erich Kästner","Emil and the Detectives (1931)"
"Emil and the Detectives (German: Emil und die Detektive) (1929), Erich Kästner","Emil and the Detectives (1935)"
"Emil and the Detectives (German: Emil und die Detektive) (1929), Erich Kästner","Emil and the Detectives (1954)"
"Emil and the Detectives (German: Emil und die Detektive) (1929), Erich Kästner","Emil and the Detectives (1964)"
"Emil and the Detectives (German: Emil und die Detektive) (1929), Erich Kästner","Emil and the Detectives (2001)"
"Emotional Arithmetic (1990), Matt Cohen","Emotional Arithmetic (2008)"
"Empire of the Sun (1984), J. G. Ballard","Empire of the Sun (1987)"
"The Enchanted April (1922), Elizabeth von Arnim","Enchanted April (1935)"
"The Enchanted April (1922), Elizabeth von Arnim","Enchanted April (1992)"
"The Enchanted Voyage (1936), Robert Nathan","Wake Up and Dream (1946)"
"The End of the Affair (1951), Graham Greene","The End of the Affair (1955)"
"The End of the Affair (1951), Graham Greene","The End of the Affair (1999)"
"Endless Love (1979), Scott Spencer","Endless Love (1981)"
"Endless Love (1979), Scott Spencer","Endless Love (2014)"
"Enduring Love (1997), Ian McEwan","Enduring Love (2004)"
"The Enemies of Women (Spanish: Los Enemigos de la Mujer) (1922), Vicente Blasco Ibáñez","Enemies of Women (1923)"
"The Enemy Below (1956), D. A. Rayner","The Enemy Below (1957)"
"The English Patient (1992), Michael Ondaatje","The English Patient (1996)"
"Enigma (1995), Robert Harris","Enigma (2001)"
"The Entity (1978), Frank De Felitta","The Entity (1982)"
"Eragon (2003), Christopher Paolini","Eragon (2006)"
"Escape (1939), Grace Zaring Stone","Escape (1940)"
"Escape to Witch Mountain (1968), Alexander Key","Escape to Witch Mountain (1975)"
