...1,Book,Movie,movie_titleWiki,movie_year,movie_match,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,BookTitle,BookAuthor,BookMatch,name,author,star_rating,num_ratings
19,"Adventure (1911), Jack London",Adventure (1925),Adventure,1925,"Adventure,1925",tt0015542,movie,Adventure,Adventure,0,1925,\N,70,"Adventure,Drama",4.8,46,Adventure,Adventure,Jack London,"Adventure,Jack London",Adventure,"[""Jack London""]",3.74,552
20,"The Adventurers (1966), Harold Robbins",The Adventurers (1970),The Adventurers,1970,"The Adventurers,1970",tt0065374,movie,The Adventurers,The Adventurers,0,1970,\N,171,"Action,Adventure,Drama",5.2,968,The Adventurers,The Adventurers,Harold Robbins,"The Adventurers,Harold Robbins",The Adventurers,"[""Harold Robbins""]",3.92,2050
20,"The Adventurers (1966), Harold Robbins",The Adventurers (1970),The Adventurers,1970,"The Adventurers,1970",tt0065374,movie,The Adventurers,The Adventurers,0,1970,\N,171,"Action,Adventure,Drama",5.2,968,The Adventurers,The Adventurers,Harold Robbins,"The Adventurers,Harold Robbins",The Adventurers,"[""Harold Robbins""]",4.1,439
21,"The Adventures of Captain Alatriste (Spanish: Las aventuras del capitán Alatriste) (1996–present) (series), Arturo Pérez-Reverte",Alatriste (2006),Alatriste,2006,"Alatriste,2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Captain Alatriste,Arturo Pérez-Reverte,"The Adventures of Captain Alatriste,Arturo Pérez-Reverte",NA,NA,NA,NA
22,"The Adventures of Captain Hatteras (French: Voyages et aventures du capitaine Hatteras) (1866), Jules Verne",The Conquest of the Pole (French: Conquête du pôle) (1912),The Conquest of the Pole,1912,"The Conquest of the Pole,1912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Captain Hatteras,Jules Verne,"The Adventures of Captain Hatteras,Jules Verne",The Adventures of Captain Hatteras,"[""Jules Verne""]",3.89,2619
23,"The Adventures of Hajji Baba of Ispahan (1824), James Justinian Morier",The Adventures of Hajji Baba (1954),The Adventures of Hajji Baba,1954,"The Adventures of Hajji Baba,1954",tt0046683,movie,The Adventures of Hajji Baba,The Adventures of Hajji Baba,0,1954,\N,94,"Action,Adventure,Romance",5.9,707,The Adventures of Hajji Baba,The Adventures of Hajji Baba of Ispahan,James Justinian Morier,"The Adventures of Hajji Baba of Ispahan,James Justinian Morier",NA,NA,NA,NA
24,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1920),Huckleberry Finn,1920,"Huckleberry Finn,1920",tt0011313,movie,Huckleberry Finn,Huckleberry Finn,0,1920,\N,70,"Comedy,Drama",6.5,123,Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
25,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1931),Huckleberry Finn,1931,"Huckleberry Finn,1931",tt0021981,movie,Huckleberry Finn,Huckleberry Finn,0,1931,\N,80,"Comedy,Family",6.3,142,Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
26,"Adventures of Huckleberry Finn (1884), Mark Twain",Huck Finn (1937),Huck Finn,1937,"Huck Finn,1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
27,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huckleberry Finn (1939),The Adventures of Huckleberry Finn,1939,"The Adventures of Huckleberry Finn,1939",tt0031020,movie,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,0,1939,\N,91,"Adventure,Drama,Family",6.8,1528,The Adventures of Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
28,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huckleberry Finn (1955)[N 1],The Adventures of Huckleberry Finn,1955,"The Adventures of Huckleberry Finn,1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
29,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huckleberry Finn (1960),The Adventures of Huckleberry Finn,1960,"The Adventures of Huckleberry Finn,1960",tt0053571,movie,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,0,1960,\N,107,"Adventure,Comedy,Drama",6.2,1685,The Adventures of Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
30,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1974),Huckleberry Finn,1974,"Huckleberry Finn,1974",tt0071634,movie,Huckleberry Finn,Huckleberry Finn,0,1974,\N,118,"Adventure,Family,Musical",5.6,763,Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
31,"Adventures of Huckleberry Finn (1884), Mark Twain",Hopelessly Lost (1972),Hopelessly Lost,1972,"Hopelessly Lost,1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
32,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1975)[N 1],Huckleberry Finn,1975,"Huckleberry Finn,1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
33,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huckleberry Finn (1981)[N 1],The Adventures of Huckleberry Finn,1981,"The Adventures of Huckleberry Finn,1981",tt1997552,movie,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,0,1981,\N,72,"Adventure,Animation",6,30,The Adventures of Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
34,"Adventures of Huckleberry Finn (1884), Mark Twain",Adventures of Huckleberry Finn (1985),Adventures of Huckleberry Finn,1985,"Adventures of Huckleberry Finn,1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
35,"Adventures of Huckleberry Finn (1884), Mark Twain",The Adventures of Huck Finn (1993),The Adventures of Huck Finn,1993,"The Adventures of Huck Finn,1993",tt0106223,movie,The Adventures of Huck Finn,The Adventures of Huck Finn,0,1993,\N,108,"Adventure,Comedy,Drama",6.2,9693,The Adventures of Huck Finn,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
36,"Adventures of Huckleberry Finn (1884), Mark Twain",Tom and Huck (1995),Tom and Huck,1995,"Tom and Huck,1995",tt0112302,movie,Tom and Huck,Tom and Huck,0,1995,\N,97,"Adventure,Drama,Family",5.5,12247,Tom and Huck,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA
37,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",The Adventures of Pinocchio (1911),The Adventures of Pinocchio,1911,"The Adventures of Pinocchio,1911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
38,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",The Adventures of Pinocchio (1936)[N 2],The Adventures of Pinocchio,1936,"The Adventures of Pinocchio,1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
39,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio (1940),Pinocchio,1940,"Pinocchio,1940",tt0032910,movie,Pinocchio,Pinocchio,0,1940,\N,88,"Adventure,Animation,Comedy",7.5,169206,Pinocchio,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
40,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",The Adventures of Pinocchio (Italian: Le avventure di Pinocchio (1947),The Adventures of Pinocchio,1947,"The Adventures of Pinocchio,1947",tt0039167,movie,The Adventures of Pinocchio,Le avventure di Pinocchio,0,1947,\N,100,"Adventure,Comedy,Family",5.5,70,Le avventure di Pinocchio,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
41,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio (1957)[N 1],Pinocchio,1957,"Pinocchio,1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
42,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio in Outer Space (1965),Pinocchio in Outer Space,1965,"Pinocchio in Outer Space,1965",tt0186449,movie,Pinocchio in Outer Space,Pinocchio in Outer Space,0,1965,\N,71,"Adventure,Animation,Family",5.6,328,Pinocchio in Outer Space,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
