Book,Movie,wikiMovieYear,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,wikiBookAuthor,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,release_date,production_budget,domestic_gross,worldwide_gross,book_year,book_movie_years,ROI,name_match,contains_series
"Clear and Present Danger (1989), Tom Clancy",Clear and Present Danger (1994),1994,0,1994,141,"Action,Crime,Drama",Action,Crime,Drama,6.9,114087,Tom Clancy,Clear and Present Danger,"[""Tom Clancy""]",4.14,139726,868,"$215,887,717","$122,187,717",56.6%,"$93,700,000",43.4%,1994,"Aug 3, 1994",62000000,122012656,207500000,1989,5,2.346774193548387,TRUE,FALSE
"Emma (1815), Jane Austen",Clueless (1995),1995,0,1995,97,"Comedy,Romance",Comedy,Romance,NA,6.9,270614,Jane Austen,Emma,"[""Jane Austen""]",4.05,895426,NA,NA,NA,NA,NA,NA,NA,"Jul 19, 1995",13700000,56631572,58052788,1815,180,3.237429781021898,FALSE,FALSE
"A Running Duck (a.k.a. Fair Game) (1974), Paula Gosling",Cobra (1986),1986,0,1986,87,"Action,Crime,Thriller",Action,Crime,Thriller,5.8,84109,Paula Gosling,A Running Duck,"[""Paula Gosling""]",3.56,167,NA,NA,NA,NA,NA,NA,NA,"May 23, 1986",25000000,49042224,49042224,1974,12,0.96168896,FALSE,FALSE
"Cold Mountain (1997), Charles Frazier",Cold Mountain (2003),2003,0,2003,154,"Adventure,Drama,Romance",Adventure,Drama,Romance,7.2,162122,Charles Frazier,Cold Mountain,"[""Charles Frazier""]",3.88,243654,NA,NA,NA,NA,NA,NA,NA,"Dec 25, 2003",80000000,95632614,165173909,1997,6,1.0646738625,TRUE,FALSE
"Congo (1980), Michael Crichton",Congo (1995),1995,0,1995,109,"Action,Adventure,Mystery",Action,Adventure,Mystery,5.3,51395,Michael Crichton,Congo,"[""Michael Crichton""]",3.62,171973,NA,NA,NA,NA,NA,NA,NA,"Jun 9, 1995",50000000,81022333,152022333,1980,15,2.04044666,TRUE,FALSE
"Planet of the Apes (French: La Planète des singes) (1963), Pierre Boulle",Conquest of the Planet of the Apes (1972),1972,0,1972,88,"Action,Sci-Fi",Action,Sci-Fi,NA,6.1,39784,Pierre Boulle,Planet of the Apes,"[""Pierre Boulle""]",3.98,43239,NA,NA,NA,NA,NA,NA,NA,"Jun 30, 1972",1700000,9700000,9700000,1963,9,4.705882352941177,FALSE,FALSE
"Contact (1985), Carl Sagan",Contact (1997),1997,0,1997,150,"Drama,Mystery,Sci-Fi",Drama,Mystery,Sci-Fi,7.5,307130,Carl Sagan,Contact,"[""Carl Sagan""]",4.15,143819,NA,NA,NA,NA,NA,NA,NA,"Jul 11, 1997",90000000,100920329,165900000,1985,12,0.8433333333333334,TRUE,FALSE
"Crash (1973), J. G. Ballard",Crash (1996),1996,0,1996,100,Drama,Drama,NA,NA,6.4,70906,J. G. Ballard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oct 4, 1996",10000000,3357324,3436114,1973,23,-0.6563886,TRUE,FALSE
"Crouching Tiger, Hidden Dragon (Chinese: 卧虎藏龙, Wòhǔ Cánglóng) (1942), Wang Dulu","Crouching Tiger, Hidden Dragon (2000)",2000,0,2000,120,"Action,Adventure,Drama",Action,Adventure,Drama,7.9,290861,Wang Dulu,NA,NA,NA,NA,884,"$213,979,405","$128,530,421",60.1%,"$85,448,984",39.9%,2000,"Dec 8, 2000",15000000,128519357,213966221,1942,58,13.264414733333334,TRUE,FALSE
"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Cruel Intentions (1999),1999,0,1999,97,"Drama,Romance",Drama,Romance,NA,6.8,216645,Pierre Choderlos de Laclos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mar 5, 1999",11000000,38665260,76238901,1782,217,5.930809181818182,FALSE,FALSE
"The Hundred and One Dalmatians (1956), Dodie Smith",Cruella (2021),2021,0,2021,134,"Adventure,Comedy,Crime",Adventure,Comedy,Crime,7.3,287445,Dodie Smith,NA,NA,4.12,37187,790,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%,2021,"May 26, 2021",100000000,86103234,225810063,1956,65,1.25810063,FALSE,FALSE
"Damnation Alley (1967), Roger Zelazny",Damnation Alley (1977),1977,0,1977,91,Sci-Fi,Sci-Fi,NA,NA,5.3,6265,Roger Zelazny,Damnation Alley,"[""Roger Zelazny""]",3.56,5370,NA,NA,NA,NA,NA,NA,NA,"Oct 21, 1977",17000000,0,0,1967,10,-1,TRUE,FALSE
"Dances with Wolves (1986), Michael Blake",Dances with Wolves (1990),1990,0,1990,181,"Adventure,Drama,Western",Adventure,Drama,Western,8,304602,Michael Blake,Dances with Wolves,"[""Michael Blake""]",4.23,27511,348,"$424,208,848","$184,208,848",43.4%,"$240,000,000",56.6%,1990,"Nov 9, 1990",19000000,184208842,424208805,1986,4,21.326779210526315,TRUE,FALSE
"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Dangerous Liaisons (1988),1988,0,1988,119,"Drama,Romance",Drama,Romance,NA,7.5,78518,Pierre Choderlos de Laclos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 21, 1988",14000000,34700000,34700000,1782,206,1.4785714285714286,FALSE,FALSE
"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Dangerous Liaisons (Chinese: 危險關係) (2012),2012,0,2012,110,"Drama,Mystery,Romance",Drama,Mystery,Romance,6,2123,Pierre Choderlos de Laclos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nov 9, 2012",24200000,17000,10447579,1782,230,-0.5682818595041322,FALSE,FALSE
"Planet of the Apes (French: La Planète des singes) (1963), Pierre Boulle",Dawn of the Planet of the Apes (2014),2014,0,2014,130,"Action,Adventure,Drama",Action,Adventure,Drama,7.6,505002,Pierre Boulle,Planet of the Apes,"[""Pierre Boulle""]",3.98,43239,150,"$710,644,566","$208,545,589",29.4%,"$502,098,977",70.6%,2014,"Jul 9, 2014",170000000,208545589,710644566,1963,51,3.1802621529411765,FALSE,FALSE
"Dear John (2006), Nicholas Sparks",Dear John (2010),2010,0,2010,108,"Drama,Romance,War",Drama,Romance,War,6.3,162177,Nicholas Sparks,Dear John,"[""Nicholas Sparks""]",4.04,600909,NA,NA,NA,NA,NA,NA,NA,"Feb 5, 2010",25000000,80014842,142033509,2006,4,4.68134036,TRUE,FALSE
"Death Sentence (1975), Brian Garfield",Death Sentence (2007),2007,0,2007,105,"Action,Crime,Thriller",Action,Crime,Thriller,6.7,77059,Brian Garfield,Death Sentence,"[""Brian Garfield""]",3.79,878,NA,NA,NA,NA,NA,NA,NA,"Aug 31, 2007",20000000,9534258,16907831,1975,32,-0.15460845,TRUE,FALSE
"Death on the Nile (1937), Agatha Christie",Death on the Nile (2022),2022,0,2022,127,"Crime,Drama,Mystery",Crime,Drama,Mystery,6.3,204983,Agatha Christie,Death on the Nile,"[""Agatha Christie""]",4.12,264102,NA,NA,NA,NA,NA,NA,NA,"Feb 9, 2022",90000000,45630104,130298184,1937,85,0.4477576,TRUE,FALSE
"Derailed (2003), James Siegel",Derailed (2005),2005,0,2005,108,"Crime,Drama,Thriller",Crime,Drama,Thriller,6.6,78334,James Siegel,Derailed,"[""James Siegel""]",3.77,2536,NA,NA,NA,NA,NA,NA,NA,"Nov 11, 2005",22000000,36020063,57520063,2003,2,1.614548318181818,TRUE,FALSE
"Diamonds Are Forever (1956), Ian Fleming",Diamonds Are Forever (1971),1971,0,1971,120,"Action,Adventure,Thriller",Action,Adventure,Thriller,6.5,119858,Ian Fleming,Diamonds Are Forever,"[""Ian Fleming""]",3.64,22423,NA,NA,NA,NA,NA,NA,NA,"Nov 26, 1971",7200000,43800000,115999985,1956,15,15.111109027777777,TRUE,FALSE
"58 Minutes (1987), Walter Wager",Die Hard 2 (1990),1990,0,1990,124,"Action,Thriller",Action,Thriller,NA,7.2,400429,Walter Wager,58 Minutes,"[""Walter Wager""]",3.56,433,770,"$240,031,274","$117,540,947",49%,"$122,490,327",51%,1990,"Jul 3, 1990",70000000,117323878,239813888,1987,3,2.4259126857142856,FALSE,FALSE
"Nothing Lasts Forever (1979), Roderick Thorp",Die Hard (1988),1988,0,1988,132,"Action,Thriller",Action,Thriller,NA,8.2,1003644,Roderick Thorp,Nothing Lasts Forever,"[""Roderick Thorp""]",3.5,2809,NA,NA,NA,NA,NA,NA,NA,"Jul 15, 1988",28000000,85892546,143651650,1979,9,4.130416071428572,FALSE,FALSE
"Disclosure (1994), Michael Crichton",Disclosure (1994),1994,0,1994,128,"Drama,Thriller",Drama,Thriller,NA,6.2,57206,Michael Crichton,Disclosure,"[""Michael Crichton""]",3.79,72518,883,"$214,015,089","$83,015,089",38.8%,"$131,000,000",61.2%,1994,"Dec 9, 1994",55000000,83015089,212200000,1994,0,2.8581818181818184,TRUE,FALSE
"Doctor Sleep (2013), Stephen King",Doctor Sleep (2019),2019,0,2019,152,"Drama,Fantasy,Horror",Drama,Fantasy,Horror,7.3,236237,Stephen King,Doctor Sleep,"[""Stephen King""]",4.13,264964,NA,NA,NA,NA,NA,NA,NA,"Oct 31, 2019",45000000,31581712,72381712,2013,6,0.6084824888888889,TRUE,FALSE
"Doctor Zhivago (1957), Boris Pasternak",Doctor Zhivago (1965),1965,0,1965,197,"Drama,Romance,War",Drama,Romance,War,7.9,85562,Boris Pasternak,Doctor Zhivago,"[""Boris Pasternak""]",4.01,97334,NA,NA,NA,NA,NA,NA,NA,"Dec 22, 1965",11000000,111897830,112101408,1957,8,9.191037090909091,TRUE,FALSE
"Dracula (1897), Bram Stoker",Dracula 2000 (2000),2000,0,2000,99,"Action,Fantasy,Horror",Action,Fantasy,Horror,4.9,38201,Bram Stoker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 22, 2000",28000000,33000377,33000377,1897,103,0.17858489285714285,FALSE,FALSE
"Dracula (1897), Bram Stoker",Dracula Untold (2014),2014,0,2014,92,"Action,Drama,Fantasy",Action,Drama,Fantasy,6.2,219191,Bram Stoker,NA,NA,NA,NA,859,"$217,124,280","$56,280,355",25.9%,"$160,843,925",74.1%,2014,"Oct 1, 2014",70000000,55991880,220241723,1897,117,2.1463103285714284,FALSE,FALSE
"Dreamcatcher (2001), Stephen King",Dreamcatcher (2003),2003,0,2003,134,"Drama,Horror,Sci-Fi",Drama,Horror,Sci-Fi,5.5,99634,Stephen King,Dreamcatcher,"[""Stephen King""]",3.65,176602,NA,NA,NA,NA,NA,NA,NA,"Mar 21, 2003",68000000,33685268,75685268,2001,2,0.11301864705882353,TRUE,FALSE
"Duel in the Sun (1941), Niven Busch",Duel in the Sun (1946),1946,0,1946,129,"Drama,Romance,Western",Drama,Romance,Western,6.7,10170,Niven Busch,Duel in the Sun,"[""Niven Busch""]",2.97,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 31, 1946",6000000,20400000,20400000,1941,5,2.4,TRUE,FALSE
"Dune (1965), Frank Herbert",Dune (1984),1984,0,1984,137,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.2,190355,Frank Herbert,Dune,"[""Frank Herbert""]",4.27,1401233,NA,NA,NA,NA,NA,NA,NA,"Dec 14, 1984",45000000,27961341,28018540,1965,19,-0.3773657777777778,TRUE,FALSE
"Dune (1965), Frank Herbert",Dune: Part Two (2024),2024,0,2024,166,"Action,Adventure,Drama",Action,Adventure,Drama,8.4,672699,Frank Herbert,Dune,"[""Frank Herbert""]",4.27,1401233,145,"$714,844,358","$282,144,358",39.5%,"$432,700,000",60.5%,2024,"Feb 28, 2024",190000000,282709065,715206195,1965,59,2.7642431315789473,FALSE,FALSE
"Eddie and the Cruisers (1980), P. F. Kluge",Eddie and the Cruisers (1983),1983,0,1983,95,"Drama,Music,Mystery",Drama,Music,Mystery,7,9132,P. F. Kluge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sep 23, 1983",5000000,4685097,4685097,1980,3,-0.0629806,TRUE,FALSE
"All You Need Is Kill (2009), Hiroshi Sakurazaka",Edge of Tomorrow (2014),2014,0,2014,113,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,7.9,787040,Hiroshi Sakurazaka,All You Need Is Kill,"[""Hiroshi Sakurazaka""]",4.03,22047,414,"$381,055,527","$100,206,256",26.3%,"$280,849,271",73.7%,2014,"May 28, 2014",178000000,100206256,367028980,2009,5,1.0619605617977528,FALSE,FALSE
"Election (1998), Tom Perrotta",Election (1999),1999,0,1999,103,"Comedy,Romance",Comedy,Romance,NA,7.2,109732,Tom Perrotta,Election,"[""Tom Perrotta""]",3.82,12047,NA,NA,NA,NA,NA,NA,NA,"Apr 23, 1999",8500000,14943582,17202854,1998,1,1.0238651764705882,TRUE,FALSE
"Elmer Gantry (1927), Sinclair Lewis",Elmer Gantry (1960),1960,0,1960,146,Drama,Drama,NA,NA,7.7,14099,Sinclair Lewis,Elmer Gantry,"[""Sinclair Lewis""]",4.01,5928,NA,NA,NA,NA,NA,NA,NA,"Jul 7, 1960",3000000,10400000,10400064,1927,33,2.466688,TRUE,FALSE
"Emma (1815), Jane Austen",Emma (1996),1996,0,1996,120,"Comedy,Drama,Romance",Comedy,Drama,Romance,6.6,43436,Jane Austen,Emma,"[""Jane Austen""]",4.05,895426,NA,NA,NA,NA,NA,NA,NA,"Aug 2, 1996",5900000,22231658,37831658,1815,181,5.412145423728814,TRUE,FALSE
"Emma (1815), Jane Austen",Emma. (2020),2020,0,2020,124,"Comedy,Drama,Romance",Comedy,Drama,Romance,6.7,69111,Jane Austen,Emma,"[""Jane Austen""]",4.05,895426,NA,NA,NA,NA,NA,NA,NA,"Feb 13, 2020",10000000,10055355,27365788,1815,205,1.7365788,FALSE,FALSE
"Endless Love (1979), Scott Spencer",Endless Love (2014),2014,0,2014,104,"Drama,Mystery,Romance",Drama,Mystery,Romance,6.2,48862,Scott Spencer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb 14, 2014",20000000,23438250,34718173,1979,35,0.73590865,TRUE,FALSE
"Eragon (2003), Christopher Paolini",Eragon (2006),2006,0,2006,104,"Action,Adventure,Family",Action,Adventure,Family,5.1,133505,Christopher Paolini,Eragon,"[""Christopher Paolini""]",3.95,1794780,728,"$250,425,512","$75,030,163",30%,"$175,395,349",70%,2006,"Dec 15, 2006",100000000,75030163,249488115,2003,3,1.49488115,TRUE,FALSE
"Planet of the Apes (French: La Planète des singes) (1963), Pierre Boulle",Escape from the Planet of the Apes (1971),1971,0,1971,98,"Action,Sci-Fi",Action,Sci-Fi,NA,6.3,43794,Pierre Boulle,Planet of the Apes,"[""Pierre Boulle""]",3.98,43239,NA,NA,NA,NA,NA,NA,NA,1971,2500000,12300000,12300000,1963,8,3.92,FALSE,FALSE
"Exit Wounds (1990), John Westermann",Exit Wounds (2001),2001,0,2001,101,"Action,Crime,Thriller",Action,Crime,Thriller,5.6,38154,John Westermann,Exit Wounds,"[""John Westermann""]",3.39,NA,NA,NA,NA,NA,NA,NA,NA,"Mar 16, 2001",33000000,51758599,79958599,1990,11,1.4229878484848484,TRUE,FALSE
"Exodus (1958), Leon Uris",Exodus (1960),1960,0,1960,208,"Action,Drama,War",Action,Drama,War,6.7,12420,Leon Uris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 15, 1960",4000000,21750000,21750000,1958,2,4.4375,TRUE,FALSE
"The Exorcist (1971), William Peter Blatty",Exorcist II: The Heretic (1977),1977,0,1977,117,Horror,Horror,NA,NA,3.8,30138,William Peter Blatty,The Exorcist,"[""William Peter Blatty""]",4.2,237545,NA,NA,NA,NA,NA,NA,NA,"Jun 17, 1977",14000000,25011000,25011000,1971,6,0.7865,FALSE,FALSE
"The Exorcist (1971), William Peter Blatty",Exorcist: The Beginning (2004),2004,0,2004,114,"Horror,Mystery,Thriller",Horror,Mystery,Thriller,5.1,41773,William Peter Blatty,The Exorcist,"[""William Peter Blatty""]",4.2,237545,NA,NA,NA,NA,NA,NA,NA,"Aug 20, 2004",78000000,41814863,43957541,1971,33,-0.43644178205128203,FALSE,FALSE
"A Running Duck (a.k.a. Fair Game) (1974), Paula Gosling",Fair Game (1995),1995,0,1995,91,"Action,Romance,Thriller",Action,Romance,Thriller,4.4,14529,Paula Gosling,A Running Duck,"[""Paula Gosling""]",3.56,167,NA,NA,NA,NA,NA,NA,NA,"Nov 3, 1995",50000000,11497497,26097497,1974,21,-0.47805006,FALSE,FALSE
"The Rainbird Pattern (1972), Victor Canning",Family Plot (1976),1976,0,1976,120,"Comedy,Crime,Drama",Comedy,Crime,Drama,6.8,26458,Victor Canning,The Rainbird Pattern,"[""Victor Canning""]",3.86,NA,NA,NA,NA,NA,NA,NA,NA,"Apr 9, 1976",3000000,13200000,13200000,1972,4,3.4,FALSE,FALSE
"Far from the Madding Crowd (1874), Thomas Hardy",Far from the Madding Crowd (2015),2015,0,2015,119,"Drama,Romance",Drama,Romance,NA,7.1,56572,Thomas Hardy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May 1, 2015",15495600,12236500,29721410,1874,141,0.9180548026536566,TRUE,FALSE
"Fear and Loathing in Las Vegas (1971), Hunter S. Thompson",Fear and Loathing in Las Vegas (1998),1998,0,1998,118,"Adventure,Comedy,Drama",Adventure,Comedy,Drama,7.5,314390,Hunter S. Thompson,Fear and Loathing in Las Vegas,"[""Hunter S. Thompson""]",4.07,352193,NA,NA,NA,NA,NA,NA,NA,"May 22, 1998",18500000,10680275,13711903,1971,27,-0.25881605405405406,TRUE,FALSE
"Fever Pitch (1992), Nick Hornby",Fever Pitch (2005),2005,0,2005,104,"Comedy,Drama,Romance",Comedy,Drama,Romance,6.2,49393,Nick Hornby,Fever Pitch,"[""Nick Hornby""]",3.77,41218,NA,NA,NA,NA,NA,NA,NA,"Apr 8, 2005",40000000,42071069,50071069,1992,13,0.251776725,TRUE,FALSE
"Fifty Shades (2011—2012) (series)[N 13], E. L. James",Fifty Shades Darker (2017),2017,0,2017,118,"Drama,Mystery,Romance",Drama,Mystery,Romance,4.6,118950,"Fifty Shades (2011—2012) (series)[N 13], E. L. James",NA,NA,NA,NA,412,"$381,545,846","$114,581,250",30%,"$266,964,596",70%,2017,"Feb 8, 2017",55000000,114434010,381367046,2011,6,5.933946290909091,FALSE,TRUE
"Fifty Shades (2011—2012) (series)[N 13], E. L. James",Fifty Shades Freed (2018),2018,0,2018,105,"Drama,Mystery,Romance",Drama,Mystery,Romance,4.6,80876,"Fifty Shades (2011—2012) (series)[N 13], E. L. James",NA,NA,NA,NA,431,"$371,985,018","$100,407,760",27%,"$271,577,258",73%,2018,"Feb 7, 2018",55000000,100407760,371985018,2011,7,5.763363963636364,FALSE,TRUE
"Fifty Shades (2011—2012) (series)[N 13], E. L. James",Fifty Shades of Grey (2015),2015,0,2015,125,"Drama,Romance,Thriller",Drama,Romance,Thriller,4.2,350920,"Fifty Shades (2011—2012) (series)[N 13], E. L. James",NA,NA,NA,NA,215,"$569,651,467","$166,167,230",29.2%,"$403,484,237",70.8%,2015,"Feb 11, 2015",40000000,166167230,570794950,2011,4,13.26987375,FALSE,TRUE
"Fight Club (1996), Chuck Palahniuk",Fight Club (1999),1999,0,1999,139,"Crime,Drama,Thriller",Crime,Drama,Thriller,8.8,2524439,Chuck Palahniuk,Fight Club,"[""Chuck Palahniuk""]",4.19,597253,NA,NA,NA,NA,NA,NA,NA,"Oct 15, 1999",65000000,37030102,100820947,1996,3,0.5510914923076923,TRUE,FALSE
"Peter and Wendy (1911)[N 28], J. M. Barrie",Finding Neverland (2004),2004,0,2004,106,"Biography,Drama,Family",Biography,Drama,Family,7.6,215868,"Peter and Wendy (1911)[N 28], J. M. Barrie",NA,NA,3.98,7224,NA,NA,NA,NA,NA,NA,NA,"Nov 12, 2004",25000000,51676606,115036108,1911,93,3.60144432,FALSE,FALSE
"Firefox (1977), Craig Thomas",Firefox (1982),1982,0,1982,136,"Action,Adventure,Thriller",Action,Adventure,Thriller,5.9,30837,Craig Thomas,Firefox,"[""Craig Thomas""]",3.94,5973,NA,NA,NA,NA,NA,NA,NA,"Jun 18, 1982",21000000,45785720,45785720,1977,5,1.180272380952381,TRUE,FALSE
"Firestarter (1980), Stephen King",Firestarter (1984),1984,0,1984,114,"Action,Horror,Sci-Fi",Action,Horror,Sci-Fi,6.1,38910,Stephen King,Firestarter,"[""Stephen King""]",3.91,230728,NA,NA,NA,NA,NA,NA,NA,"May 11, 1984",15000000,15136870,15136870,1980,4,0.009124666666666666,TRUE,FALSE
"First Blood (1972), David Morrell",First Blood (1982),1982,0,1982,93,"Action,Adventure,Thriller",Action,Adventure,Thriller,7.7,294478,David Morrell,First Blood,"[""David Morrell""]",4.04,9947,NA,NA,NA,NA,NA,NA,NA,"Oct 22, 1982",14000000,47212904,125212904,1972,10,7.943778857142857,TRUE,FALSE
"My Friend Flicka (1941), Mary O'Hara",Flicka (2006),2006,0,2006,95,"Adventure,Drama,Family",Adventure,Drama,Family,6,8814,Mary O'Hara,My Friend Flicka,"[""Mary O'Hara""]",4.17,28903,NA,NA,NA,NA,NA,NA,NA,"Oct 20, 2006",15000000,21000147,21896367,1941,65,0.4597578,FALSE,FALSE
"Flight of the Intruder (1986), Stephen Coonts",Flight of the Intruder (1991),1991,0,1991,115,"Action,Drama,Thriller",Action,Drama,Thriller,5.8,8248,Stephen Coonts,Flight of the Intruder,"[""Stephen Coonts""]",4.09,28769,NA,NA,NA,NA,NA,NA,NA,"Jan 18, 1991",35000000,14471440,14471440,1986,5,-0.5865302857142857,TRUE,FALSE
"The Flight of the Phoenix (1964), Elleston Trevor",Flight of the Phoenix (2004),2004,0,2004,113,"Action,Adventure,Drama",Action,Adventure,Drama,6.1,58341,Elleston Trevor,The Flight of the Phoenix,"[""Elleston Trevor""]",3.92,642,NA,NA,NA,NA,NA,NA,NA,"Dec 17, 2004",75000000,21009180,34009180,1964,40,-0.5465442666666667,FALSE,FALSE
"For Love of the Game (1991), Michael Shaara",For Love of the Game (1999),1999,0,1999,137,"Drama,Romance,Sport",Drama,Romance,Sport,6.6,39664,Michael Shaara,For Love of the Game,"[""Michael Shaara""]",3.91,1604,NA,NA,NA,NA,NA,NA,NA,"Sep 17, 1999",50000000,35188640,46112640,1991,8,-0.0777472,TRUE,FALSE
"Force 10 From Navarone (1968), Alistair MacLean",Force 10 from Navarone (1978),1978,0,1978,118,"Action,Drama,War",Action,Drama,War,6.4,20954,Alistair MacLean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 22, 1978",5000000,7100000,7100000,1968,10,0.42,FALSE,FALSE
"Forrest Gump (1986), Winston Groom",Forrest Gump (1994),1994,0,1994,142,"Drama,Romance",Drama,Romance,NA,8.8,2427982,Winston Groom,Forrest Gump,"[""Winston Groom""]",4.02,68901,161,"$678,226,465","$330,455,270",48.7%,"$347,771,195",51.3%,1994,"Jul 6, 1994",55000000,330151138,679835137,1986,8,11.360638854545455,TRUE,FALSE
"Freaky Friday (1972), Mary Rodgers",Freakier Friday (2025)[N 17],2025,0,2025,110,"Comedy,Family,Fantasy",Comedy,Family,Fantasy,6.6,19946,Mary Rodgers,Freaky Friday,"[""Mary Rodgers""]",3.68,8693,NA,NA,NA,NA,NA,NA,NA,"Aug 6, 2025",42000000,94186236,153134429,1972,53,2.6460578333333333,FALSE,FALSE
"Freaky Friday (1972), Mary Rodgers",Freaky Friday (2003),2003,0,2003,97,"Comedy,Family,Fantasy",Comedy,Family,Fantasy,6.4,171308,Mary Rodgers,Freaky Friday,"[""Mary Rodgers""]",3.68,8693,NA,NA,NA,NA,NA,NA,NA,"Aug 6, 2003",26000000,110222438,160822438,1972,31,5.185478384615385,TRUE,FALSE
"Goodbye Piccadilly, Farewell Leicester Square (1966), Arthur La Bern",Frenzy (1972),1972,0,1972,116,"Drama,Thriller",Drama,Thriller,NA,7.4,52398,Arthur La Bern,"Goodbye Piccadilly, Farewell Leicester Square","[""Arthur La Bern""]",3.34,NA,NA,NA,NA,NA,NA,NA,NA,"Jun 21, 1972",3500000,12600000,12600267,1966,6,2.6000762857142856,FALSE,FALSE
"Fried Green Tomatoes at the Whistle Stop Cafe (1987), Fannie Flagg",Fried Green Tomatoes (1991),1991,0,1991,130,Drama,Drama,NA,NA,7.7,89153,Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe,"[""Fannie Flagg""]",4.28,308885,NA,NA,NA,NA,NA,NA,NA,"Dec 27, 1991",11000000,81204830,81204830,1987,4,6.382257272727273,FALSE,FALSE
"From Here to Eternity (1951), James Jones",From Here to Eternity (1953),1953,0,1953,118,"Drama,Romance,War",Drama,Romance,War,7.6,53382,James Jones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug 5, 1953",1650000,30500000,30500000,1951,2,17.484848484848484,TRUE,FALSE
"Jack's Return Home (1970), Ted Lewis",Get Carter (2000),2000,0,2000,102,"Action,Crime,Drama",Action,Crime,Drama,5.2,38595,Ted Lewis,NA,NA,4.15,2111064,NA,NA,NA,NA,NA,NA,NA,"Oct 6, 2000",40000000,14967182,19417182,1970,30,-0.51457045,FALSE,FALSE
"Get Shorty (1990), Elmore Leonard",Get Shorty (1995),1995,0,1995,105,"Comedy,Crime,Thriller",Comedy,Crime,Thriller,6.9,95235,Elmore Leonard,Get Shorty,"[""Elmore Leonard""]",3.96,23737,NA,NA,NA,NA,NA,NA,NA,"Oct 20, 1995",30250000,72021008,115021008,1990,5,2.8023473719008263,TRUE,FALSE
"The Killer Angels (1974), Michael Shaara",Gettysburg (1993),1993,0,1993,254,"Drama,History,War",Drama,History,War,7.6,32871,Michael Shaara,The Killer Angels,"[""Michael Shaara""]",4.33,86807,NA,NA,NA,NA,NA,NA,NA,"Oct 8, 1993",25000000,10731997,10731997,1974,19,-0.57072012,FALSE,FALSE
"Girl with a Pearl Earring (1999), Tracy Chevalier",Girl with a Pearl Earring (2003),2003,0,2003,100,"Biography,Drama,Romance",Biography,Drama,Romance,6.9,84862,Tracy Chevalier,Girl with a Pearl Earring,"[""Tracy Chevalier""]",3.93,740869,NA,NA,NA,NA,NA,NA,NA,"Dec 12, 2003",12000000,11634362,43153588,1999,4,2.5961323333333333,TRUE,FALSE
"Lay This Laurel (1973), Lincoln Kirstein",Glory (1989),1989,0,1989,122,"Biography,Drama,History",Biography,Drama,History,7.8,150936,Lincoln Kirstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 13, 1989",18000000,26828365,26828365,1973,16,0.4904647222222222,FALSE,FALSE
"Gods and Generals (1996), Jeffrey Shaara",Gods and Generals (2003),2003,0,2003,219,"Biography,Drama,History",Biography,Drama,History,6.2,17862,Jeffrey Shaara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb 21, 2003",55000000,12882934,12923936,1996,7,-0.7650193454545454,TRUE,FALSE
"Father of Frankenstein (1995),[34]Christopher Bram",Gods and Monsters (1998),1998,0,1998,105,"Biography,Drama",Biography,Drama,NA,7.3,33842,"Father of Frankenstein (1995),[34]Christopher Bram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nov 6, 1998",3500000,6451628,6451628,1995,3,0.8433222857142857,FALSE,FALSE
