Book,Movie,wikiMovieYear,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,wikiBookAuthor,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,release_date,production_budget,domestic_gross,worldwide_gross,book_year,book_movie_years,ROI,name_match,contains_series
"The Trial (1925), Franz Kafka",After Hours (1985),1985,0,1985,97,"Comedy,Crime,Drama",Comedy,Crime,Drama,7.6,91890,Franz Kafka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sep 13, 1985",4500000,10673287,10688817,1925,60,1.3752926666666667,FALSE,FALSE
"After (2017), Anna Todd",After (2019),2019,0,2019,105,"Drama,Romance",Drama,Romance,NA,5.3,73516,Anna Todd,After,"[""Anna Todd""]",3.71,335184,NA,NA,NA,NA,NA,NA,NA,"Apr 12, 2019",14000000,12138565,57926850,2017,2,3.137632142857143,TRUE,FALSE
"All the Pretty Horses (1992), Cormac McCarthy",All the Pretty Horses (2000),2000,0,2000,116,"Drama,Romance,Western",Drama,Romance,Western,5.8,16188,Cormac McCarthy,All the Pretty Horses,"[""Cormac McCarthy""]",4.04,126351,NA,NA,NA,NA,NA,NA,NA,"Dec 22, 2000",45000000,15527125,18120267,1992,8,-0.5973274,TRUE,FALSE
"Along Came a Spider (1993), James Patterson",Along Came a Spider (2001),2001,0,2001,104,"Crime,Drama,Mystery",Crime,Drama,Mystery,6.4,101474,James Patterson,Along Came a Spider,"[""James Patterson""]",4.13,461048,NA,NA,NA,NA,NA,NA,NA,"Apr 6, 2001",28000000,74058698,105159085,1993,8,2.755681607142857,TRUE,FALSE
"American Psycho (1991), Bret Easton Ellis",American Psycho (2000),2000,0,2000,102,"Crime,Drama,Horror",Crime,Drama,Horror,7.6,802924,Bret Easton Ellis,American Psycho,"[""Bret Easton Ellis""]",3.81,318731,NA,NA,NA,NA,NA,NA,NA,"Apr 14, 2000",8000000,15070285,34270285,1991,9,3.283785625,TRUE,FALSE
"American Splendor (1976–2008), Harvey Pekar",American Splendor (2003),2003,0,2003,101,"Biography,Comedy,Drama",Biography,Comedy,Drama,7.4,54121,Harvey Pekar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug 15, 2003",2000000,6003587,8685632,1976,27,3.342816,TRUE,FALSE
"Angels & Demons (2000), Dan Brown",Angels & Demons (2009),2009,0,2009,138,"Mystery,Thriller",Mystery,Thriller,NA,6.7,321338,Dan Brown,NA,NA,NA,NA,277,"$485,930,816","$133,375,846",27.4%,"$352,554,970",72.6%,2009,"May 15, 2009",150000000,133375846,490875846,2000,9,2.27250564,TRUE,FALSE
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",Anna Karenina (2012),2012,0,2012,129,"Drama,Romance",Drama,Romance,NA,6.6,110918,Leo Tolstoy,Anna Karenina,"[""Leo Tolstoy""]",4.09,857124,NA,NA,NA,NA,NA,NA,NA,"Sep 7, 2012",49000000,12816367,71004627,1873,139,0.44907402040816324,TRUE,FALSE
"Anna and the King of Siam (1944), Margaret Landon",Anna and the King (1999),1999,0,1999,148,"Drama,History,Romance",Drama,History,Romance,6.7,40035,Margaret Landon,Anna and the King of Siam,"[""Margaret Landon""]",3.79,2915,NA,NA,NA,NA,NA,NA,NA,"Dec 17, 1999",75000000,39251128,39251128,1944,55,-0.47665162666666666,FALSE,FALSE
"Annihilation (2014), Jeff VanderMeer",Annihilation (2018),2018,0,2018,115,"Adventure,Drama,Horror",Adventure,Drama,Horror,6.8,386016,Jeff VanderMeer,Annihilation,"[""Jeff VanderMeer""]",3.77,237532,NA,NA,NA,NA,NA,NA,NA,"Feb 23, 2018",55000000,32732301,43070915,2014,4,-0.21689245454545455,TRUE,FALSE
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in 80 Days (1956),1956,0,1956,175,"Adventure,Comedy,Family",Adventure,Comedy,Family,6.7,31312,Jules Verne,Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,"Oct 17, 1956",6000000,42000000,42000000,1873,83,6,FALSE,FALSE
