...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
16,"Addie Pray (1971), Joe David Brown",Paper Moon (1973),Paper Moon,1973,"Paper Moon,1973",tt0070510,Paper Moon,Paper Moon,0,1973,102,"Comedy,Crime,Drama",8.1,56159,Paper Moon,Addie Pray,Joe David Brown,"Addie Pray,Joe David Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Adiliya by the River (1999), Jin Renshun",Green Tea (2003),Green Tea,2003,"Green Tea,2003",tt0382821,Green Tea,Lü cha,0,2003,83,"Drama,Romance",6.5,777,Lü cha,Adiliya by the River,Jin Renshun,"Adiliya by the River,Jin Renshun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Adolphe (1816), Benjamin Constant",Adolphe (2002),Adolphe,2002,"Adolphe,2002",tt0307923,Adolphe,Adolphe,0,2002,102,Drama,6,429,Adolphe,Adolphe,Benjamin Constant,"Adolphe,Benjamin Constant",Adolphe,"[""Benjamin Constant""]",3.57,3045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Adventure (1911), Jack London",Adventure (1925),Adventure,1925,"Adventure,1925",tt0015542,Adventure,Adventure,0,1925,70,"Adventure,Drama",4.8,46,Adventure,Adventure,Jack London,"Adventure,Jack London",Adventure,"[""Jack London""]",3.74,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"The Adventurers (1966), Harold Robbins",The Adventurers (1970),The Adventurers,1970,"The Adventurers,1970",tt0065374,The Adventurers,The Adventurers,0,1970,171,"Action,Adventure,Drama",5.2,968,The Adventurers,The Adventurers,Harold Robbins,"The Adventurers,Harold Robbins",The Adventurers,"[""Harold Robbins""]",3.92,2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"The Adventurers (1966), Harold Robbins",The Adventurers (1970),The Adventurers,1970,"The Adventurers,1970",tt0065374,The Adventurers,The Adventurers,0,1970,171,"Action,Adventure,Drama",5.2,968,The Adventurers,The Adventurers,Harold Robbins,"The Adventurers,Harold Robbins",The Adventurers,"[""Harold Robbins""]",3.92,2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"The Adventures of Captain Alatriste (Spanish: Las aventuras del capitán Alatriste) (1996–present) (series), Arturo Pérez-Reverte",Alatriste (2006),Alatriste,2006,"Alatriste,2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Captain Alatriste,Arturo Pérez-Reverte,"The Adventures of Captain Alatriste,Arturo Pérez-Reverte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"The Adventures of Captain Hatteras (French: Voyages et aventures du capitaine Hatteras) (1866), Jules Verne",The Conquest of the Pole (French: Conquête du pôle) (1912),The Conquest of the Pole,1912,"The Conquest of the Pole,1912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Captain Hatteras,Jules Verne,"The Adventures of Captain Hatteras,Jules Verne",The Adventures of Captain Hatteras,"[""Jules Verne""]",3.89,2619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"The Adventures of Hajji Baba of Ispahan (1824), James Justinian Morier",The Adventures of Hajji Baba (1954),The Adventures of Hajji Baba,1954,"The Adventures of Hajji Baba,1954",tt0046683,The Adventures of Hajji Baba,The Adventures of Hajji Baba,0,1954,94,"Action,Adventure,Romance",5.9,707,The Adventures of Hajji Baba,The Adventures of Hajji Baba of Ispahan,James Justinian Morier,"The Adventures of Hajji Baba of Ispahan,James Justinian Morier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1920),Huckleberry Finn,1920,"Huckleberry Finn,1920",tt0011313,Huckleberry Finn,Huckleberry Finn,0,1920,70,"Comedy,Drama",6.5,123,Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Adventures of Huckleberry Finn (1884), Mark Twain",Huckleberry Finn (1931),Huckleberry Finn,1931,"Huckleberry Finn,1931",tt0021981,Huckleberry Finn,Huckleberry Finn,0,1931,80,"Comedy,Family",6.3,142,Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn,Mark Twain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
