"","rank","release_group","worldwide","domestic","percent","foreign","percent_2","year"
"1",1,"Star Wars: Episode IV - A New Hope","$307,263,857","$307,263,857","100%","-","-",1977
"2",2,"Smokey and the Bandit","$126,748,082","$126,737,428","100%","$87","<0.1%",1977
"3",3,"Close Encounters of the Third Kind","$116,396,241","$116,395,460","100%","-","-",1977
"4",4,"Saturday Night Fever","$94,214,336","$94,213,184","100%","-","-",1977
"5",5,"A Bridge Too Far","$50,750,000","$50,750,000","100%","-","-",1977
"6",6,"The Deep","$47,346,365","$47,346,365","100%","-","-",1977
"7",7,"The Spy Who Loved Me","$46,839,295","$46,838,673","100%","-","-",1977
"8",8,"Oh, God!","$41,687,243","$41,687,243","100%","-","-",1977
"9",9,"Annie Hall","$38,252,415","$38,251,425","100%","-","-",1977
"10",10,"Semi-Tough","$37,187,139","$37,187,139","100%","-","-",1977
"11",11,"Pete's Dragon","$35,488,000","$35,488,000","100%","-","-",1977
"12",12,"Heroes","$33,500,000","$33,500,000","100%","-","-",1977
"13",13,"High Anxiety","$31,063,038","$31,063,038","100%","-","-",1977
"14",14,"Exorcist II: The Heretic","$30,749,142","$30,749,142","100%","-","-",1977
"15",15,"The Rescuers","$29,000,120","$29,000,000","100%","-","-",1977
"16",16,"Slap Shot","$28,000,000","$28,000,000","100%","-","-",1977
"17",17,"Herbie Goes to Monte Carlo","$28,000,000","$28,000,000","100%","-","-",1977
"18",18,"The Gauntlet","$26,414,658","$26,414,658","100%","-","-",1977
"19",19,"The Turning Point","$25,933,445","$25,933,445","100%","-","-",1977
"20",20,"Freaky Friday","$25,642,000","$25,642,000","100%","-","-",1977
"21",21,"The Other Side of Midnight","$24,652,021","$24,652,021","100%","-","-",1977
"22",22,"Looking for Mr. Goodbar","$22,513,493","$22,512,655","100%","-","-",1977
"23",23,"Julia","$20,714,400","$20,714,400","100%","-","-",1977
"24",24,"The Bad News Bears in Breaking Training","$19,104,350","$19,104,350","100%","-","-",1977
"25",25,"For the Love of Benji","$17,732,000","$17,732,000","100%","-","-",1977
"26",26,"New York, New York","$16,400,658","$16,400,000","100%","-","-",1977
"27",27,"Black Sunday","$15,769,322","$15,769,322","100%","-","-",1977
"28",28,"Orca","$14,717,854","$14,717,854","100%","-","-",1977
"29",29,"Bobby Deerfield","$9,300,000","$9,300,000","100%","-","-",1977
"30",30,"Islands in the Stream","$5,596,173","$5,596,173","100%","-","-",1977
"31",31,"Race for Your Life, Charlie Brown","$3,223,888","$3,223,888","100%","-","-",1977
"32",32,"March or Die","$1,000,000","$1,000,000","100%","-","-",1977
"33",33,"Joseph Andrews","$839,865","$839,865","100%","-","-",1977
"34",34,"Citizens Band","$815,530","$815,530","100%","-","-",1977
"35",35,"Fraternity Row","$290,674","$290,674","100%","-","-",1977
"36",36,"Sorcerer","$3,556","-","-","-","-",1977
"37",37,"The Many Adventures of Winnie the Pooh","$2,100","-","-","-","-",1977
"38",38,"1900","$420","-","-","-","-",1977
"39",39,"The Last Wave","$280","-","-","-","-",1977
"40",40,"The American Friend","$27","-","-","-","-",1977
"41",1,"Grease","$159,996,021","$159,978,870","100%","$1,179","<0.1%",1978
"42",2,"Superman","$134,220,479","$134,218,018","100%","$2,461","<0.1%",1978
"43",3,"National Lampoon's Animal House","$120,098,342","$120,091,123","100%","$7,219","<0.1%",1978
"44",4,"Every Which Way But Loose","$85,196,485","$85,196,485","100%","-","-",1978
"45",5,"Heaven Can Wait","$81,640,278","$81,640,278","100%","-","-",1978
"46",6,"Hooper","$78,000,000","$78,000,000","100%","-","-",1978
"47",7,"Jaws 2","$77,737,272","$77,737,272","100%","-","-",1978
"48",8,"Revenge of the Pink Panther","$49,579,269","$49,579,269","100%","-","-",1978
"49",9,"The Deer Hunter","$48,994,659","$48,979,328","100%","$12,498","<0.1%",1978
"50",10,"Halloween","$47,001,351","$47,000,000","100%","$438","<0.1%",1978
"51",11,"Foul Play","$44,999,621","$44,999,621","100%","-","-",1978
"52",12,"The End","$44,917,151","$44,917,151","100%","-","-",1978
"53",13,"Up in Smoke","$44,364,244","$44,364,244","100%","-","-",1978
"54",14,"Midnight Express","$35,000,000","$35,000,000","100%","-","-",1978
"55",15,"Coming Home","$32,653,905","$32,653,905","100%","-","-",1978
"56",16,"The Lord of the Rings","$30,474,857","$30,471,420","100%","-","-",1978
"57",17,"House Calls","$28,460,702","$28,460,702","100%","-","-",1978
"58",18,"Damien: Omen II","$26,518,355","$26,518,355","100%","-","-",1978
"59",19,"Invasion of the Body Snatchers","$24,947,762","$24,946,533","100%","-","-",1978
"60",20,"Convoy","$22,765,081","$22,765,081","100%","-","-",1978
"61",21,"The Wiz","$21,049,225","$21,049,053","100%","-","-",1978
"62",22,"F.I.S.T.","$20,388,920","$20,388,920","100%","-","-",1978
"63",23,"Sgt. Pepper's Lonely Hearts Club Band","$20,378,470","$20,378,470","100%","-","-",1978
"64",24,"Eyes of Laura Mars","$20,000,077","$20,000,000","100%","$77","<0.1%",1978
"65",25,"The One and Only","$16,928,137","$16,928,137","100%","-","-",1978
"66",26,"Return from Witch Mountain","$16,393,000","$16,393,000","100%","-","-",1978
"67",27,"Corvette Summer","$15,514,367","$15,514,367","100%","-","-",1978
"68",28,"The Greek Tycoon","$14,672,713","$14,672,713","100%","-","-",1978
"69",29,"Death on the Nile","$14,560,084","$14,560,084","100%","-","-",1978
"70",30,"The Buddy Holly Story","$14,363,400","$14,363,400","100%","-","-",1978
"71",31,"The Big Fix","$13,062,708","$13,062,708","100%","-","-",1978
"72",32,"The Other Side of the Mountain: Part II","$11,565,678","$11,565,678","100%","-","-",1978
"73",33,"Moment by Moment","$10,963,824","$10,963,824","100%","-","-",1978
"74",34,"Interiors","$10,432,366","$10,432,366","100%","-","-",1978
"75",35,"Straight Time","$9,900,000","$9,900,000","100%","-","-",1978
"76",36,"Comes a Horseman","$9,585,769","$9,585,769","100%","-","-",1978
"77",37,"American Hot Wax","$7,932,571","$7,932,571","100%","-","-",1978
"78",38,"The Brink's Job","$7,909,950","$7,909,950","100%","-","-",1978
"79",39,"Goin' South","$7,435,671","$7,435,671","100%","-","-",1978
"80",40,"King of the Gypsies","$7,325,177","$7,325,177","100%","-","-",1978
"81",41,"Force 10 from Navarone","$7,230,000","$7,230,000","100%","-","-",1978
"82",42,"Paradise Alley","$7,185,518","$7,185,518","100%","-","-",1978
"83",43,"The Bad News Bears Go to Japan","$7,092,495","$7,092,495","100%","-","-",1978
"84",44,"International Velvet","$7,009,238","$7,009,238","100%","-","-",1978
"85",45,"Blue Collar","$6,521,083","$6,521,083","100%","-","-",1978
"86",46,"Pretty Baby","$5,786,368","$5,786,368","100%","-","-",1978
"87",47,"Gray Lady Down","$5,438,927","$5,438,927","100%","-","-",1978
"88",48,"Brass Target","$5,011,158","$5,011,158","100%","-","-",1978
"89",49,"Caravans","$3,930,501","$3,930,501","100%","-","-",1978
"90",50,"Days of Heaven","$3,452,278","$3,446,749","99.8%","-","-",1978
"91",51,"Our Winning Season","$1,997,705","$1,997,705","100%","-","-",1978
"92",52,"I Wanna Hold Your Hand","$1,944,682","$1,944,682","100%","-","-",1978
"93",53,"Skateboard","$1,318,823","$1,318,823","100%","-","-",1978
"94",54,"Uncle Joe Shannon","$494,797","$494,797","100%","-","-",1978
"95",55,"Nunzio","$52,195","$52,195","100%","-","-",1978
"96",56,"The Last Waltz","$15,349","-","-","-","-",1978
"97",1,"Kramer vs. Kramer","$106,260,000","$106,260,000","100%","-","-",1979
"98",2,"The Amityville Horror","$86,432,000","$86,432,000","100%","-","-",1979
"99",3,"Rocky II","$85,182,160","$85,182,160","100%","-","-",1979
"100",4,"Star Trek: The Motion Picture","$82,258,612","$82,258,456","100%","-","-",1979
"101",5,"Alien","$78,999,751","$78,944,891","99.9%","$54,860","<0.1%",1979
"102",6,"Apocalypse Now","$78,995,695","$78,784,010","99.7%","$211,685","0.3%",1979
"103",7,"10","$74,865,517","$74,865,517","100%","-","-",1979
"104",8,"The Jerk","$73,691,419","$73,691,419","100%","-","-",1979
"105",9,"Moonraker","$70,308,533","$70,308,099","100%","-","-",1979
"106",10,"The Muppet Movie","$65,850,687","$65,847,930","100%","-","-",1979
"107",11,"The Electric Horseman","$61,801,971","$61,801,971","100%","-","-",1979
"108",12,"The China Syndrome","$51,718,367","$51,718,367","100%","-","-",1979
"109",13,"Meatballs","$43,046,003","$43,046,003","100%","-","-",1979
"110",14,"Escape from Alcatraz","$43,000,000","$43,000,000","100%","-","-",1979
"111",15,"The Main Event","$42,800,000","$42,800,000","100%","-","-",1979
"112",16,"Manhattan","$39,946,780","$39,946,780","100%","-","-",1979
"113",17,"All That Jazz","$37,825,158","$37,823,676","100%","-","-",1979
"114",18,"The Black Stallion","$37,799,643","$37,799,643","100%","-","-",1979
"115",19,"The Black Hole","$35,841,901","$35,841,901","100%","-","-",1979
"116",20,"Starting Over","$35,649,012","$35,649,012","100%","-","-",1979
"117",21,"And Justice for All","$33,300,000","$33,300,000","100%","-","-",1979
"118",22,"1941","$31,755,742","$31,755,742","100%","-","-",1979
"119",23,"The Champ","$30,441,738","$30,441,738","100%","-","-",1979
"120",24,"Being There","$30,178,926","$30,177,511","100%","$93","<0.1%",1979
"121",25,"The Rose","$29,174,648","$29,174,648","100%","-","-",1979
"122",26,"Going in Style","$26,869,286","$26,869,286","100%","-","-",1979
"123",27,"North Dallas Forty","$26,079,312","$26,079,312","100%","-","-",1979
"124",28,"The Warriors","$22,495,052","$22,490,039","100%","$4,616","<0.1%",1979
"125",29,"Norma Rae","$22,228,000","$22,228,000","100%","-","-",1979
"126",30,"Buck Rogers in the 25th Century","$21,671,241","$21,671,241","100%","-","-",1979
"127",31,"National Lampoon's Animal House 1979 Re-release","$21,508,877","$21,508,877","100%","-","-",1979
"128",32,"The Apple Dumpling Gang Rides Again","$20,931,111","$20,931,111","100%","-","-",1979
"129",33,"La Cage aux Folles","$20,424,259","$20,424,259","100%","-","-",1979
"130",34,"Dracula","$20,158,970","$20,158,970","100%","-","-",1979
"131",35,"When a Stranger Calls","$20,149,106","$20,149,106","100%","-","-",1979
"132",36,"Same Time, Next Year","$19,703,082","$19,703,082","100%","-","-",1979
"133",37,"The Seduction of Joe Tynan","$19,595,168","$19,595,168","100%","-","-",1979
"134",38,"Monty Python's Life of Brian","$19,428,017","$19,398,164","99.8%","$26,174","0.1%",1979
"135",39,"One Hundred and One Dalmatians 1979 Re-release","$19,000,000","$19,000,000","100%","-","-",1979
"136",40,"Prophecy","$18,389,402","$18,389,402","100%","-","-",1979
"137",41,"Breaking Away","$16,424,918","$16,424,918","100%","-","-",1979
"138",42,"Hair","$15,285,248","$15,284,643","100%","-","-",1979
"139",43,"More American Graffiti","$15,014,674","$15,014,674","100%","-","-",1979
"140",44,"Roller Boogie","$13,253,715","$13,253,715","100%","-","-",1979
"141",45,"The Great Train Robbery","$13,027,857","$13,027,857","100%","-","-",1979
"142",46,"The Concorde... Airport '79","$13,015,688","$13,015,688","100%","-","-",1979
"143",47,"Phantasm","$11,988,469","$11,988,469","100%","-","-",1979
"144",48,"The Promise","$11,606,005","$11,606,005","100%","-","-",1979
"145",49,"The Legacy","$11,364,985","$11,364,985","100%","-","-",1979
"146",50,"Fiddler on the Roof 1979 Re-release","$10,404,330","$10,404,330","100%","-","-",1979
"147",51,"The Onion Field","$9,890,597","$9,890,597","100%","-","-",1979
"148",52,"The Frisco Kid","$9,346,177","$9,346,177","100%","-","-",1979
"149",53,"Meteor","$8,400,000","$8,400,000","100%","-","-",1979
"150",54,"The Fish That Saved Pittsburgh","$8,281,246","$8,281,246","100%","-","-",1979
"151",55,"Bloodline","$8,218,695","$8,218,695","100%","-","-",1979
"152",56,"The Prisoner of Zenda","$7,650,600","$7,650,600","100%","-","-",1979
"153",57,"Agatha","$7,500,000","$7,500,000","100%","-","-",1979
"154",58,"Americathon","$6,171,763","$6,171,763","100%","-","-",1979
"155",59,"Running","$6,012,556","$6,012,556","100%","-","-",1979
"156",60,"Cuba","$5,610,280","$5,610,280","100%","-","-",1979
"157",61,"Butch and Sundance: The Early Days","$5,136,913","$5,136,913","100%","-","-",1979
"158",62,"Players","$4,896,094","$4,896,094","100%","-","-",1979
"159",63,"The Great Santini","$4,702,575","$4,702,575","100%","-","-",1979
"160",64,"Yanks","$3,931,010","$3,931,010","100%","-","-",1979
"161",65,"Lost and Found","$3,223,197","$3,223,197","100%","-","-",1979
"162",66,"Hanover Street","$3,000,000","$3,000,000","100%","-","-",1979
"163",67,"Voices","$2,631,244","$2,631,244","100%","-","-",1979
"164",68,"Wanda Nevada","$2,411,145","$2,411,145","100%","-","-",1979
"165",69,"Sunburn","$2,410,776","$2,410,776","100%","-","-",1979
"166",70,"Rich Kids","$1,856,122","$1,856,122","100%","-","-",1979
"167",71,"Walk Proud","$1,675,040","$1,675,040","100%","-","-",1979
"168",72,"Last Embrace","$1,537,125","$1,537,125","100%","-","-",1979
"169",73,"Goldengirl","$1,247,376","$1,247,376","100%","-","-",1979
"170",74,"The Passage","$1,101,186","$1,101,186","100%","-","-",1979
"171",75,"Winter Kills","$1,084,261","$1,083,799","100%","-","-",1979
"172",76,"City on Fire","$784,181","$784,181","100%","-","-",1979
"173",77,"A Man, a Woman and a Bank","$683,353","$683,353","100%","-","-",1979
"174",78,"Five Days from Home","$641,768","$641,768","100%","-","-",1979
"175",79,"Fast Charlie... the Moonbeam Rider","$444,334","$444,334","100%","-","-",1979
"176",80,"The Human Factor","$376,050","$376,050","100%","-","-",1979
"177",81,"Real Life","$364,642","$364,642","100%","-","-",1979
"178",82,"An Almost Perfect Affair","$85,493","$85,493","100%","-","-",1979
"179",83,"Nest of Vipers","$27,182","$27,182","100%","-","-",1979
"180",84,"The Milky Way","$2,893","-","-","$2,893","100%",1979
"181",1,"Star Wars: Episode V - The Empire Strikes Back","$209,398,025","$209,398,025","100%","-","-",1980
"182",2,"9 to 5","$103,290,500","$103,290,500","100%","-","-",1980
"183",3,"Stir Crazy","$101,300,000","$101,300,000","100%","-","-",1980
"184",4,"Airplane!","$83,455,109","$83,453,539","100%","-","-",1980
"185",5,"Any Which Way You Can","$70,687,344","$70,687,344","100%","-","-",1980
"186",6,"Private Benjamin","$69,847,348","$69,847,348","100%","-","-",1980
"187",7,"Coal Miner's Daughter","$67,182,787","$67,182,787","100%","-","-",1980
"188",8,"Smokey and the Bandit II","$66,132,626","$66,132,626","100%","-","-",1980
"189",9,"The Blue Lagoon","$58,853,243","$58,853,106","100%","-","-",1980
"190",10,"The Blues Brothers","$57,260,276","$57,229,890","99.9%","$691","<0.1%",1980
"191",11,"Ordinary People","$54,766,923","$54,766,923","100%","-","-",1980
"192",12,"Popeye","$49,825,005","$49,823,037","100%","-","-",1980
"193",13,"Urban Cowboy","$46,918,287","$46,918,287","100%","-","-",1980
"194",14,"The Shining","$44,083,638","$44,017,374","99.8%","$66,264","0.2%",1980
"195",15,"Seems Like Old Times","$43,995,918","$43,995,918","100%","-","-",1980
"196",16,"Cheech and Chong's Next Movie","$41,675,194","$41,675,194","100%","-","-",1980
"197",17,"Caddyshack","$39,846,344","$39,846,344","100%","-","-",1980
"198",18,"Friday the 13th","$39,761,038","$39,754,601","100%","-","-",1980
"199",19,"Brubaker","$37,121,708","$37,121,708","100%","-","-",1980
"200",20,"Little Darlings","$34,326,249","$34,326,249","100%","-","-",1980
"201",21,"Dressed to Kill","$31,900,256","$31,899,000","100%","-","-",1980
"202",22,"The Jazz Singer","$27,118,000","$27,118,000","100%","-","-",1980
"203",23,"Flash Gordon","$27,109,466","$27,107,960","100%","-","-",1980
"204",24,"Lady and the Tramp 1980 Re-release","$26,114,207","$26,114,207","100%","-","-",1980
"205",25,"The Elephant Man","$26,015,930","$26,010,864","100%","-","-",1980
"206",26,"Bronco Billy","$24,265,659","$24,265,659","100%","-","-",1980
"207",27,"Raging Bull","$23,336,687","$23,334,953","100%","$915","<0.1%",1980
"208",28,"Xanadu","$22,765,338","$22,762,571","100%","-","-",1980
"209",29,"American Gigolo","$22,743,674","$22,743,674","100%","-","-",1980
"210",30,"My Bodyguard","$22,482,952","$22,482,952","100%","-","-",1980
"211",31,"The Fog","$21,378,361","$21,378,361","100%","-","-",1980
"212",32,"Fame","$21,203,532","$21,202,829","100%","-","-",1980
"213",33,"Tess","$20,093,330","$20,093,330","100%","-","-",1980
"214",34,"Altered States","$19,853,898","$19,853,892","100%","$6","<0.1%",1980
"215",35,"Song of the South","$19,800,000","$19,800,000","100%","-","-",1980
"216",36,"Cruising","$19,785,014","$19,784,223","100%","-","-",1980
"217",37,"The Octagon","$18,971,000","$18,971,000","100%","-","-",1980
"218",38,"Honeysuckle Rose","$17,815,212","$17,815,212","100%","-","-",1980
"219",39,"Herbie Goes Bananas","$17,000,000","$17,000,000","100%","-","-",1980
"220",40,"Rough Cut","$16,656,125","$16,656,125","100%","-","-",1980
"221",41,"The Final Countdown","$16,647,800","$16,647,800","100%","-","-",1980
"222",42,"The Hunter","$16,274,150","$16,274,150","100%","-","-",1980
"223",43,"Hero at Large","$15,934,737","$15,934,737","100%","-","-",1980
"224",44,"The Long Riders","$15,795,189","$15,795,189","100%","-","-",1980
"225",45,"The Island","$15,716,828","$15,716,828","100%","-","-",1980
"226",46,"Close Encounters of the Third Kind 1980 Special Edition","$15,693,175","$15,693,175","100%","-","-",1980
"227",47,"First Family","$15,198,912","$15,198,912","100%","-","-",1980
"228",48,"Prom Night","$14,796,236","$14,796,236","100%","-","-",1980
"229",49,"The Nude Bomb","$14,662,035","$14,662,035","100%","-","-",1980
"230",50,"Oh, God! Book II","$14,504,277","$14,504,277","100%","-","-",1980
"231",51,"The Competition","$14,287,755","$14,287,755","100%","-","-",1980
"232",52,"Wholly Moses!","$14,155,617","$14,155,617","100%","-","-",1980
"233",53,"Mary Poppins 1980 Re-release","$14,000,000","$14,000,000","100%","-","-",1980
"234",54,"The Last Married Couple in America","$12,835,544","$12,835,544","100%","-","-",1980
"235",55,"Used Cars","$11,715,321","$11,715,321","100%","-","-",1980
"236",56,"The Mirror Crack'd","$11,000,657","$11,000,000","100%","$657","<0.1%",1980
"237",57,"The Last Flight of Noah's Ark","$11,000,000","$11,000,000","100%","-","-",1980
"238",58,"The Fiendish Plot of Dr. Fu Manchu","$10,697,276","$10,697,276","100%","-","-",1980
"239",59,"Stardust Memories","$10,389,003","$10,389,003","100%","-","-",1980
"240",60,"The Hollywood Knights","$10,000,000","$10,000,000","100%","-","-",1980
"241",61,"Serial","$9,870,727","$9,870,727","100%","-","-",1980
"242",62,"Somewhere in Time","$9,709,597","$9,709,597","100%","-","-",1980
"243",63,"Saturn 3","$9,000,000","$9,000,000","100%","-","-",1980
"244",64,"Tribute","$9,000,000","$9,000,000","100%","-","-",1980
"245",65,"The Formula","$8,894,289","$8,894,289","100%","-","-",1980
"246",66,"Mad Max","$8,750,081","$8,750,000","100%","-","-",1980
"247",67,"Battle Creek Brawl","$8,527,743","$8,527,743","100%","-","-",1980
"248",68,"The Awakening","$8,415,112","$8,415,112","100%","-","-",1980
"249",69,"Fatso","$7,653,061","$7,653,061","100%","-","-",1980
"250",70,"How to Become a Detective","$7,500,000","$7,500,000","100%","-","-",1980
"251",71,"How to Beat the High Cost of Living","$7,500,000","$7,500,000","100%","-","-",1980
"252",72,"Foxes","$7,470,348","$7,470,348","100%","-","-",1980
"253",73,"The Big Red One","$7,206,220","$7,206,220","100%","-","-",1980
"254",74,"The Stunt Man","$7,063,886","$7,063,886","100%","-","-",1980
"255",75,"Where the Buffalo Roam","$6,659,377","$6,659,377","100%","-","-",1980
"256",76,"The Gong Show Movie","$6,621,520","$6,621,520","100%","-","-",1980
"257",77,"Motel Hell","$6,342,668","$6,342,668","100%","-","-",1980
"258",78,"Little Miss Marker","$6,321,392","$6,321,392","100%","-","-",1980
"259",79,"Oh Heavenly Dog","$6,216,067","$6,216,067","100%","-","-",1980
"260",80,"Divine Madness","$5,318,098","$5,318,098","100%","-","-",1980
"261",81,"In God We Trust (or Gimme That Prime Time Religion)","$5,215,015","$5,215,015","100%","-","-",1980
"262",82,"He Knows You're Alone","$4,875,436","$4,875,436","100%","-","-",1980
"263",83,"Coast to Coast","$4,495,445","$4,495,445","100%","-","-",1980
"264",84,"Melvin and Howard","$4,309,490","$4,309,490","100%","-","-",1980
"265",85,"Roadie","$4,226,370","$4,226,370","100%","-","-",1980
"266",86,"Gloria","$4,061,941","$4,059,673","99.9%","-","-",1980
"267",87,"Jaws 2 1980 Re-release","$4,028,735","$4,028,735","100%","-","-",1980
"268",88,"Kagemusha: The Shadow Warrior","$4,001,070","$4,000,000","100%","$1,070","<0.1%",1980
"269",89,"Resurrection","$3,910,019","$3,910,019","100%","-","-",1980
"270",90,"Hide in Plain Sight","$3,806,930","$3,806,930","100%","-","-",1980
"271",91,"Guyana: Cult of the Damned","$3,798,102","$3,798,102","100%","-","-",1980
"272",92,"When Time Ran Out...","$3,763,988","$3,763,988","100%","-","-",1980
"273",93,"Heaven's Gate","$3,484,331","$3,484,331","100%","-","-",1980
"274",94,"North Sea Hijack","$2,993,772","$2,993,772","100%","-","-",1980
"275",95,"Midnight Madness","$2,900,000","$2,900,000","100%","-","-",1980
"276",96,"Loving Couples","$2,806,659","$2,806,659","100%","-","-",1980
"277",97,"The Idolmaker","$2,625,716","$2,625,716","100%","-","-",1980
"278",98,"The Black Marble","$2,500,000","$2,500,000","100%","-","-",1980
"279",99,"Gilda Live","$2,261,507","$2,261,507","100%","-","-",1980
"280",100,"Windows","$2,128,395","$2,128,395","100%","-","-",1980
"281",101,"Just Tell Me What You Want","$2,086,905","$2,086,905","100%","-","-",1980
"282",102,"Bon Voyage, Charlie Brown (and Don't Come Back!!)","$2,013,193","$2,013,193","100%","-","-",1980
"283",103,"Carny","$1,817,720","$1,817,720","100%","-","-",1980
"284",104,"When a Stranger Calls 1980 Re-release","$1,262,052","$1,262,052","100%","-","-",1980
"285",105,"Why Would I Lie?","$1,175,855","$1,175,855","100%","-","-",1980
"286",106,"Nijinsky","$1,047,454","$1,047,454","100%","-","-",1980
"287",107,"Heart Beat","$954,046","$954,046","100%","-","-",1980
"288",108,"One-Trick Pony","$843,215","$843,215","100%","-","-",1980
"289",109,"Those Lips, Those Eyes","$804,713","$804,713","100%","-","-",1980
"290",110,"A Small Circle of Friends","$766,760","$766,760","100%","-","-",1980
"291",111,"Leo and Loree","$517,988","$517,988","100%","-","-",1980
"292",112,"Home Movies","$89,134","$89,134","100%","-","-",1980
"293",113,"Phobia","$59,167","$59,167","100%","-","-",1980
"294",114,"Stalker 2019 Re-release","$53,860","-","-","$32,636","60.6%",1980
"295",115,"Breaking Glass","$2,471","$2,471","100%","-","-",1980
"296",116,"Breaker Morant","$948","-","-","-","-",1980
"297",117,"The Changeling","$147","-","-","$147","100%",1980
"298",1,"Superman II","$216,385,706","$108,185,706","50%","$108,200,000","50%",1981
"299",2,"Raiders of the Lost Ark","$212,222,025","$212,222,025","100%","-","-",1981
"300",3,"On Golden Pond","$119,285,432","$119,285,432","100%","-","-",1981
"301",4,"Arthur","$95,461,682","$95,461,682","100%","-","-",1981
"302",5,"Stripes","$85,297,000","$85,297,000","100%","-","-",1981
"303",6,"The Cannonball Run","$72,179,579","$72,179,579","100%","-","-",1981
"304",7,"Chariots of Fire","$58,972,904","$58,972,904","100%","-","-",1981
"305",8,"For Your Eyes Only","$54,812,948","$54,812,802","100%","-","-",1981
"306",9,"The Four Seasons","$50,427,646","$50,427,646","100%","-","-",1981
"307",10,"Time Bandits","$42,365,581","$42,365,581","100%","-","-",1981
"308",11,"Clash of the Titans","$41,092,328","$41,092,328","100%","-","-",1981
"309",12,"Absence of Malice","$40,716,963","$40,716,963","100%","-","-",1981
"310",13,"Reds","$40,382,788","$40,382,659","100%","$129","<0.1%",1981
"311",14,"The Fox and the Hound","$39,900,000","$39,900,000","100%","-","-",1981
"312",15,"Tarzan the Ape Man","$36,565,280","$36,565,280","100%","-","-",1981
"313",16,"Taps","$35,856,053","$35,856,053","100%","-","-",1981
"314",17,"Sharky's Machine","$35,610,100","$35,610,100","100%","-","-",1981
"315",18,"Excalibur","$34,968,405","$34,967,437","100%","-","-",1981
"316",19,"Endless Love","$32,492,674","$31,184,024","96%","$1,308,650","4%",1981
"317",20,"History of the World: Part I","$31,672,907","$31,672,907","100%","-","-",1981
"318",21,"Bustin' Loose","$31,261,269","$31,261,269","100%","-","-",1981
"319",22,"The Great Muppet Caper","$31,206,251","$31,206,251","100%","-","-",1981
"320",23,"An American Werewolf in London","$30,716,821","$30,565,292","99.5%","$147,328","0.5%",1981
"321",24,"Neighbors","$29,916,207","$29,916,207","100%","-","-",1981
"322",25,"Fort Apache the Bronx","$29,200,000","$29,200,000","100%","-","-",1981
"323",26,"Cinderella 1981 Re-release","$28,040,000","$28,040,000","100%","-","-",1981
"324",27,"The French Lieutenant's Woman","$26,890,068","$26,890,068","100%","-","-",1981
"325",28,"Private Lessons","$26,279,000","$26,279,000","100%","-","-",1981
"326",29,"Modern Problems","$26,154,211","$26,154,211","100%","-","-",1981
"327",30,"Halloween II","$25,533,818","$25,533,818","100%","-","-",1981
"328",31,"Only When I Laugh","$25,524,778","$25,524,778","100%","-","-",1981
"329",32,"Escape from New York","$25,244,626","$25,244,626","100%","-","-",1981
"330",33,"Body Heat","$24,058,838","$24,058,838","100%","-","-",1981
"331",34,"Ghost Story","$23,371,905","$23,371,905","100%","-","-",1981
"332",35,"Friday the 13th: Part 2","$21,722,975","$21,722,776","100%","-","-",1981
"333",36,"The Final Conflict","$20,471,382","$20,471,382","100%","-","-",1981
"334",37,"The Incredible Shrinking Woman","$20,259,961","$20,259,961","100%","-","-",1981
"335",38,"Mommie Dearest","$19,034,059","$19,032,261","100%","-","-",1981
"336",39,"Paternity","$18,838,812","$18,838,812","100%","-","-",1981
"337",40,"Under the Rainbow","$18,826,490","$18,826,490","100%","-","-",1981
"338",41,"The Howling","$17,985,893","$17,985,893","100%","-","-",1981
"339",42,"Eye of the Needle","$17,583,634","$17,583,634","100%","-","-",1981
"340",43,"Take This Job and Shove It","$17,569,027","$17,569,027","100%","-","-",1981
"341",44,"Outland","$17,374,595","$17,374,595","100%","-","-",1981
"342",45,"The Devil and Max Devlin","$16,000,000","$16,000,000","100%","-","-",1981
"343",46,"Caveman","$15,965,924","$15,965,924","100%","-","-",1981
"344",47,"Continental Divide","$15,578,237","$15,578,237","100%","-","-",1981
"345",48,"The Night the Lights Went Out in Georgia","$14,923,752","$14,923,752","100%","-","-",1981
"346",49,"Ragtime","$14,920,781","$14,920,781","100%","-","-",1981
"347",50,"Nighthawks","$14,905,359","$14,905,359","100%","-","-",1981
"348",51,"S.O.B.","$14,867,086","$14,867,086","100%","-","-",1981
"349",52,"Rich and Famous","$14,492,125","$14,492,125","100%","-","-",1981
"350",53,"Scanners","$14,225,876","$14,225,876","100%","-","-",1981
"351",54,"Dragonslayer","$14,110,172","$14,110,013","100%","-","-",1981
"352",55,"True Confessions","$12,850,276","$12,850,276","100%","-","-",1981
"353",56,"Atlantic City","$12,729,675","$12,729,675","100%","-","-",1981
"354",57,"The Legend of the Lone Ranger","$12,617,845","$12,617,845","100%","-","-",1981
"355",58,"First Monday in October","$12,480,249","$12,480,249","100%","-","-",1981
"356",59,"The Postman Always Rings Twice","$12,383,416","$12,376,625","99.9%","$6,791","<0.1%",1981
"357",60,"Blow Out","$12,000,597","$12,000,000","100%","-","-",1981
"358",61,"Back Roads","$11,809,387","$11,809,387","100%","-","-",1981
"359",62,"Thief","$11,493,936","$11,492,915","100%","-","-",1981
"360",63,"Victory","$10,853,418","$10,853,418","100%","-","-",1981
"361",64,"Rollover","$10,851,261","$10,851,261","100%","-","-",1981
